Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AEM|US|AGNICO EAGLE MIN|AEM|2.64|26.28|2.02|1.5134|1.05|70.43|70.81|70.30|0.00|1.00|1.00|69.38|58.23|89.23|70.52|68.80|31.00|69.38|-|0.41|70.56|NYQ||"21|479.36"|"242|991|213.00"|"1|463|673.00"|"1|241|195.05"|"91|216.00"||-|-|-|-|-|-|-|-|-|||USD|R|1.40|03/22/2021|02/26/2021|-|"14|457.00"|Þ||1.72||
AEZS|US|AETERNA ZENTARIS|AEZS.O|-0.18|0.00|0.00|2.0922|0.0137|0.67|0.69|0.67|"11|223.00"|4.00|5.00|0.65|1.25|1.54|0.68|0.60|0.29|0.65|-|0.85|0.68|   ||52.02|"62|678|613.00"|"9|747|439.00"|"3|494|445.21"|"2|977|101.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|11/20/2015|11/20/2015|-|"11|575.00"|Þ||0.08||
AGI|US|ALAMOS GOLD INC|AGI|0.27|31.85|0.94|-0.5896|-0.05|8.43|8.50|8.44|0.00|28.00|12.00|8.48|8.24|11.58|8.50|8.24|3.34|8.48|-|0.55|8.47|NYQ||"4|286.78"|"392|697|670.00"|"2|666|460.00"|"2|800|035.82"|"290|659.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.08|12/21/2020|12/04/2020|-|"14|193.00"|Þ||0.26||
AAU|US|ALMADEN MINERALS|AAU|-0.02|0.00|0.00|14.6076|0.0752|0.59|0.64|0.63|0.00|10.00|5.00|0.51|1.03|1.24|0.62|0.51|0.21|0.52|-|0.86|0.63|ASQ||79.56|"120|548|611.00"|"7|314|728.00"|"1|053|748.38"|"1|952|105.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|08/10/2015|08/10/2015|-|"8|335.00"|Þ||0.11||
APTO|US|APTOSE BIOSCIENC|APTO.O|-0.53|0.00|0.00|-4.4872|-0.21|4.47|4.60|4.50|"6|723.00"|10.00|3.00|4.68|5.33|9.25|4.69|4.43|3.92|4.69|-|0.73|4.55|   ||532.90|"88|861|737.00"|"1|025|961.00"|"1|256|496.78"|"44|400.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|10/06/2014|10/06/2014|-|"5|643.00"|Þ||0.26||
AT|US|ATLANTIC PWR|AT|-0.26|0.00|0.00|-0.4739|-0.01|2.10|2.11|2.09|0.00|15.00|2.00|2.11|0.84|2.54|2.12|2.10|1.70|2.10|-|0.47|2.10|NYQ||188.26|"89|222|568.00"|"435|828.00"|"320|484.05"|"159|352.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|12/31/2015|11/25/2015|-|"1|190.00"|þ||0.02||
AUMN|US|GOLDEN MINERLS|AUMN.K|-0.05|0.00|0.00|-3.554|-0.0269|0.73|0.75|0.73|0.00|4.00|1.00|0.76|0.72|0.85|0.76|0.71|0.13|0.75|-|0.96|0.74|ASQ||116.57|"154|012|652.00"|"1|046|677.00"|"1|790|109.50"|"179|539.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|-|-|-|"2|447.00"|þ||0.05||
AUPH|US|AURINIA PHARMACE|AUPH.O|-1.47|0.00|0.00|0.779|0.11|14.23|14.37|14.33|"20|654.00"|1.00|22.00|14.12|10.65|20.48|14.81|14.05|9.83|14.24|-|0.98|14.35|   ||"2|287.85"|"126|450|000.00"|"3|122|177.00"|"1|593|874.18"|"139|439.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|10/23/2013|10/23/2013|-|"20|625.00"|Þ||0.76||
AXU|US|ALEXCO RESOURCE|AXU|-0.17|0.00|0.00|-0.0|-0.0|2.85|2.90|2.88|0.00|45.00|3.00|2.85|2.78|3.50|2.88|2.68|0.72|2.81|-|0.94|2.89|ASQ||497.52|"137|059|172.00"|"1|572|423.00"|"1|584|369.06"|"177|692.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|-|-|-|"4|513.00"|þ||0.20||
BAM|US|BROOKFIELD ASSET|BAM|-0.23|0.00|1.25|0.5453|0.21|38.72|42.68|38.00|0.00|1.00|1.00|38.51|24.03|45.61|38.94|38.08|21.57|38.51|-|0.29|40.34|NYQ||"74|258.98"|"1|571|078|809.00"|"1|737|600.00"|"2|246|394.65"|"56|093.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.48|12/31/2020|11/27/2020|-|"15|305.00"|Þ||0.86||
BCE|US|BCE INC|BCE|1.88|22.92|6.05|0.1622|0.07|43.22|43.52|43.05|0.00|5.00|2.00|43.15|17.60|49.26|43.25|42.82|31.66|43.03|-|0.19|43.28|NYQ||"49|837.50"|"904|327|728.00"|"786|391.00"|"1|014|987.78"|"30|559.00"||-|-|-|-|-|-|-|-|-|||USD|R|2.61|01/15/2021|12/14/2020|-|"6|806.00"|Þ||0.43||
