Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
ABX|CA|BARRICK GOLD|ABX.TO|2.27|13.25|1.52|-0.27|-0.08|29.95|30.00|29.95|"1|000.00"|20.00|1.00|30.03|23.57|41.09|30.20|29.57|17.52|30.10|-||29.98|TOR||"53|395.38"|"1|778|126|000.00"|"4|522|121.00"|"4|724|810.39"|"768|800.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.46|12/15/2020|11/27/2020|-|"13|784.00"|Þ||0.63||
AC|CA|AIR CANADA|AC.TO|0.00|0.00|0.00|3.31|0.74|23.13|23.20|23.13|700.00|14.00|4.00|22.39|43.45|52.71|23.24|22.26|9.26|22.51|-||23.16|TOR||"7|437.34"|"332|171|985.00"|"3|645|423.00"|"5|158|925.43"|"241|500.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|"16|614.00"|þ||0.98||
ACB|CA|AURORA CANNABIS|ACB.TO|-34.94|0.00|0.00|0.68|0.09|13.41|13.45|13.40|"2|000.00"|62.00|7.00|13.32|31.31|36.24|13.76|13.02|4.93|13.40|-||13.43|TOR||"1|881.89"|"141|282|931.00"|"5|143|985.00"|"4|496|968.82"|"584|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/11/2020|05/11/2020|-|"17|872.00"|þ||0.74||
ACO.X|CA|ATCO LTD CL 1|ACOx.TO|2.34|15.84|4.70|-0.35|-0.13|36.89|37.03|36.80|100.00|1.00|1.00|37.02|27.25|54.97|37.05|36.70|27.72|37.02|-||36.91|TOR||"4|259.30"|"101|472|899.00"|"260|413.00"|"218|070.98"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|1.74|12/31/2020|12/02/2020|-|"1|859.00"|þ||0.35||
AD.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AEM|CA|AGNICO EAGLE MIN|AEM.TO|3.52|25.20|2.10|0.87|0.77|89.41|89.69|89.09|500.00|10.00|5.00|88.64|74.10|117.35|89.63|87.75|43.25|88.64|-||89.39|TOR||"21|479.36"|"242|991|213.00"|"541|521.00"|"718|598.56"|"43|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.86|03/22/2021|02/26/2021|-|"3|642.00"|þ||1.88||
AFN|CA|AG GROWTH INC|AFN.TO|-2.95|0.00|1.95|6.93|2.13|32.88|32.95|32.62|400.00|3.00|2.00|30.75|33.07|48.07|32.96|31.11|15.00|31.11|-||32.78|TOR||575.43|"18|713|012.00"|"52|294.00"|"73|875.70"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.60|01/15/2021|12/30/2020|-|355.00|þ||1.85||
AGI|CA|ALAMOS GOLD|AGI.TO|0.35|30.54|0.95|-1.2|-0.13|10.70|10.73|10.65|100.00|8.00|11.00|10.83|11.09|15.52|10.83|10.51|4.43|10.80|-||10.69|TOR||"4|286.78"|"392|697|670.00"|"801|841.00"|"993|854.76"|"52|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.10|12/21/2020|12/04/2020|-|"3|413.00"|þ||0.32||
AIF|CA|ALTUS GROUP|AIF.TO|0.55|88.81|1.22|-0.29|-0.14|48.86|49.14|48.77|500.00|1.00|1.00|49.00|27.70|61.11|49.21|48.56|33.41|49.00|-||48.95|TOR||"1|998.59"|"41|108|936.00"|"83|971.00"|"129|817.91"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.60|01/15/2021|12/30/2020|-|606.00|þ||0.65||
ALA|CA|ALTAGAS|ALA.TO|1.20|15.75|5.29|2.28|0.43|19.32|19.35|19.20|100.00|44.00|29.00|18.89|14.03|22.74|19.34|18.91|8.71|18.95|-||19.27|TOR||"5|279.09"|"279|464|999.00"|"624|719.00"|"739|368.24"|"24|700.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.00|02/15/2021|01/22/2021|-|"3|043.00"|þ||0.43||
