Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
UNS|CA|UNI-SELECT INC|UNS.TO|-2.39|0.00|0.00|-1.83|-0.14|7.51|7.56|7.44|100.00|256.00|3.00|7.65|10.47|13.37|7.69|7.42|2.90|7.65|-||7.50|TOR||324.26|"42|387|300.00"|"53|703.00"|"105|827.47"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|04/21/2020|03/30/2020|-|209.00|Þ||0.27||
UR.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
URB|CA|URBANA CORP|URB.TO|0.05|65.21|2.93|-0.0|-0.0|3.07|3.17|2.87|"2|000.00"|10.00|347.00|3.07|1.57|3.07|3.09|3.07|1.50|3.09|-||3.02|TOR||134.42|"10|000|000.00"|"2|670.00"|"1|075.85"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.09|01/29/2021|01/14/2021|-|4.00|þ||0.02||
URE|CA|UR-ENERGY|URE.TO|-0.06|0.00|0.00|2.8|0.03|1.10|1.12|1.08|400.00|78.00|10.00|1.07|0.76|1.15|1.12|1.03|0.39|1.07|-||1.10|TOR||182.98|"169|667|672.00"|"137|265.00"|"81|380.06"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|425.00|þ||0.09||
USA|CA|AMRC GOLD&SILVER|USA.TO|-0.42|0.00|0.00|-1.6|-0.06|3.68|3.69|3.68|"1|200.00"|2.00|32.00|3.74|3.73|5.12|3.77|3.53|1.39|3.77|-||3.69|TOR||444.71|"117|975|579.00"|"502|924.00"|"578|454.25"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/28/2016|12/28/2016|-|"2|048.00"|þ||0.24||
VB|CA|VERSABANK|VB.TO|0.82|11.35|1.08|0.54|0.05|9.34|9.35|9.20|100.00|76.00|21.00|9.29|5.08|9.49|9.42|9.20|4.41|9.36|-||9.27|TOR||197.08|"21|123|559.00"|"13|463.00"|"8|170.30"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.10|01/31/2021|01/07/2021|-|47.00|Þ||0.22||
VCM|CA|VECIMA NETWORKS|VCM.TO|0.10|133.78|1.57|0.0|0.0|14.02|14.25|14.05|0.00|1.00|5.00|14.02|7.39|14.90|0.00|0.00|7.51|0.00|-||14.15|TOR||320.89|"22|888|235.00"|0.00|"5|830.71"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.22|12/21/2020|11/26/2020|-|0.00| ||0.00||
VET|CA|VERMILION ENERGY|VET.TO|-9.30|0.00|0.00|3.48|0.23|6.83|6.85|6.81|300.00|10.00|18.00|6.60|19.57|21.77|7.12|6.71|2.20|6.72|-||6.83|TOR||"1|044.83"|"158|308|000.00"|"3|696|741.00"|"2|075|728.05"|"607|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|04/15/2020|03/30/2020|-|"8|151.00"|þ||0.41||
VFF|CA|VILLAGE FARM INT|VFF.TO|-0.07|0.00|0.00|-3.8|-0.65|16.46|16.49|16.45|100.00|1.00|20.00|17.11|14.76|17.77|17.68|16.25|3.01|17.11|-||16.47|TOR||||"898|402.00"|"790|959.68"|"12|300.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|06/30/2009|05/27/2009|-|"5|447.00"|þ||1.43||
VGZ|CA|VISTA GOLD|VGZ.TO|0.02|90.40|0.00|1.42|0.02|1.43|1.43|1.38|500.00|33.00|2.00|1.41|1.39|1.90|1.43|1.38|0.51|1.43|-||1.40|TOR||114.00|"102|877|704.00"|"4|400.00"|"26|568.18"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|06/01/2007|05/10/2007|-|17.00|Þ||0.05||
VII|CA|SEVEN GENERATION|VII.TO|-3.34|0.00|0.00|3.97|0.27|7.07|7.10|7.04|300.00|374.00|5.00|6.80|7.21|8.36|7.10|6.88|1.15|6.94|-||7.07|TOR||"2|266.65"|"333|330|816.00"|"972|931.00"|"1|058|011.07"|"69|200.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|"3|364.00"|Þ||0.22||
VLE|CA|VALEURA ENERGY|VLE.TO|-0.08|0.00|0.00|3.45|0.02|0.60|0.61|0.60|500.00|4.00|2.00|0.58|0.44|0.64|0.62|0.59|0.20|0.59|-||0.60|TOR||50.62|"86|584|989.00"|"181|229.00"|"151|420.18"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|09/15/2011|09/15/2011|-|70.00|þ||0.03||
VLN|CA|VELAN INC|VLN.TO|-1.15|0.00|0.00|0.14|0.01|7.21|7.35|6.66|100.00|5.00|1.00|7.20|4.84|8.35|7.27|7.20|3.51|7.20|-||7.00|TOR||43.68|"6|019|068.00"|"2|020.00"|"4|749.55"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/27/2020|03/11/2020|-|12.00|þ||0.07||
VNP|CA|5N PLUS INC|VNP.TO|0.08|39.08|0.00|-0.61|-0.02|3.26|3.26|3.21|200.00|3.00|6.00|3.28|2.44|3.45|3.44|3.19|1.01|3.37|-||3.23|TOR||270.30|"81|763|283.00"|"95|850.00"|"63|085.62"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|337.00|Þ||0.25||
WCM.A|CA|WILMIGTN CP A|WCMa.TO|-0.05|0.00|50.00|0.0|0.0|4.00|4.00|3.50|0.00|100.00|9.00|4.00|1.94|5.00|0.00|0.00|3.06|0.00|-||3.75|TOR||49.60|"11|328|182.00"|0.00|"7|515.41"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|2.00|12/17/2019|12/04/2019|-|0.00| ||0.00||
WCN|CA|WASTE CONNECTION|WCN.TO|1.04|127.47|0.80|-1.22|-1.62|130.96|130.97|130.46|500.00|1.00|1.00|132.58|43.29|143.84|132.83|130.85|100.55|132.44|-||130.72|TOR||"34|854.98"|"262|971|930.00"|"256|703.00"|"327|664.89"|"22|100.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.07|11/25/2020|11/09/2020|-|"1|843.00"|Þ||1.98||
WCP|CA|WHITECAP RESCS|WCP.TO|-5.83|0.00|3.50|5.52|0.27|5.16|5.16|5.15|100.00|7.00|49.00|4.89|4.68|5.41|5.20|5.00|0.73|5.00|-||5.16|TOR||"2|286.10"|"466|529|019.00"|"3|209|501.00"|"2|834|880.04"|"402|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.17|01/15/2021|12/30/2020|-|"6|999.00"|Þ||0.20||
WDO|CA|WESDOME GOLD|WDO.TO|0.38|26.14|0.00|-0.7|-0.07|9.90|9.97|9.88|100.00|4.00|5.00|9.97|9.15|15.00|10.12|9.82|5.85|10.05|-||9.93|TOR||"1|387.10"|"139|127|285.00"|"317|485.00"|"479|569.82"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|04/29/2011|04/13/2011|-|"1|875.00"|þ||0.30||
