Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
BMM|CA|BLACK MAMMOTH|BMM.V|-0.01|0.00|0.00|-22.5|-0.045|0.15|0.20|0.16|"1|500.00"|8.00|18.00|0.20|0.16|0.20|0.15|0.15|0.04|0.15|-||0.18|   ||2.22|"11|081|871.00"|"1|842.00"|"6|703.48"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|02/19/2016|02/19/2016|-|3.00|þ||0.00||
BOL|CA|BOLD VENTURS INC|BOL.V|-0.03|0.00|0.00|-4.17|-0.005|0.12|0.12|0.10|"4|000.00"|4.00|216.00|0.12|0.13|0.15|0.12|0.10|0.03|0.12|-||0.11|   ||4.55|"37|935|615.00"|"30|000.00"|"33|325.90"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|02/04/2020|02/04/2020|-|5.00|Þ||0.01||
BQE|CA|BQE WATER INC|BQE.V|0.60|32.15|0.00|0.0|0.0|19.18|19.20|19.00|0.00|5.00|1.00|19.18|12.59|20.00|0.00|0.00|7.41|0.00|-||19.10|   ||23.35|"1|217|435.00"|0.00|376.48|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/05/2019|03/05/2019|-|0.00| ||0.00||
BRC|CA|BLACKROCK GOLD|BRC.V|-0.04|0.00|0.00|1.06|0.01|0.95|0.95|0.90|"1|000.00"|62.00|67.00|0.94|1.54|1.61|0.95|0.91|0.07|0.95|-||0.93|   ||100.66|"107|090|111.00"|"101|385.00"|"419|658.68"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|72.00|Þ||0.04||
BRM|CA|BIOREM|BRM.V|-0.03|0.00|0.00|-1.47|-0.01|0.67|0.69|0.67|"9|500.00"|40.00|15.00|0.68|0.44|0.70|0.67|0.65|0.26|0.65|-||0.68|   ||26.29|"38|661|558.00"|"31|300.00"|"17|727.66"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|01/21/2005|01/21/2005|-|9.00|Þ||0.02||
BRN.PR.A|CA|BROOKFIELD PR A|BRN_pa.V|0.00|0.00|4.62|-0.39|-0.1|25.36|25.65|25.36|100.00|3.00|32.00|25.46|2.35|25.85|25.36|25.36|23.50|25.36|-||25.50|   ||152.60|"5|946|854.00"|"1|866.00"|"1|187.12"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|1.18|12/31/2020|12/17/2020|-|3.00|þ||0.00||
BRU.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BRZ|CA|BEARING LTHIUM A|BRZ.V|-0.01|0.00|0.00|-8.33|-0.015|0.17|0.18|0.16|500.00|4.00|24.00|0.18|0.19|0.25|0.18|0.15|0.06|0.18|-||0.17|   ||15.87|"79|344|738.00"|"136|154.00"|"47|542.14"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|08/22/2016|08/22/2016|-|32.00|Þ||0.02||
BSH|CA|BAYSHORE PETRO|BSH.V|-0.01|0.00|0.00|-14.29|-0.005|0.03|0.06|0.03|"17|000.00"|34.00|140.00|0.04|0.04|0.06|0.04|0.03|0.01|0.04|-||0.04|   ||2.91|"83|260|815.00"|"126|000.00"|"13|017.45"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|5.00|þ||0.01||
BSK|CA|BLUE SKY URANIUM|BSK.V|-0.02|0.00|0.00|-0.0|-0.0|0.16|0.17|0.16|"2|000.00"|10.00|14.00|0.16|0.18|0.23|0.16|0.15|0.04|0.15|-||0.16|   ||19.22|"120|110|232.00"|"147|373.00"|"187|312.75"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/04/2014|12/04/2014|-|35.00|Þ||0.01||
BSR|CA|BLUESTONE RESRCE|BSR.V|-0.37|0.00|0.00|0.5|0.01|2.02|2.03|2.01|500.00|75.00|8.00|2.01|1.44|2.43|2.03|1.96|0.99|2.03|-||2.02|   ||290.81|"143|547|376.00"|"43|940.00"|"148|901.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|05/24/2017|05/24/2017|-|41.00|Þ||0.07||
BTI|CA|BIOASIS TECNLGS|BTI.V|-0.01|0.00|0.00|-13.64|-0.06|0.38|0.40|0.38|"8|500.00"|3.00|46.00|0.44|0.32|0.47|0.43|0.38|0.14|0.43|-||0.39|   ||29.90|"67|963|256.00"|"61|925.00"|"30|249.68"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|26.00|þ||0.05||
