Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
ABCN|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
ACB|CA|AURORA CANNABIS|ACB.TO|-34.94|0.00|0.00|0.68|0.09|13.41|13.45|13.40|"2|000.00"|62.00|7.00|13.32|31.31|36.24|13.76|13.02|4.93|13.40|-||13.43|TOR||"1|881.89"|"141|282|931.00"|"5|143|985.00"|"4|496|968.82"|"584|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/11/2020|05/11/2020|-|"17|872.00"|þ||0.74||
AHG|CA|ALTERNATE HEALTH|AHG.CD|0.00|0.00|0.00|0.0|0.0|0.10|0.00|0.00|0.00|0.00|0.00|0.10|0.18|0.23|0.00|0.00|0.05|0.00|-||0.00|   ||9.15|"91|484|212.00"|0.00|0.00|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|0.00| ||0.00||
APH|US|AMPHENOL A|APH|3.80|35.74|0.85|-0.5454|-0.74|134.94|135.63|76.76|0.00|1.00|4.00|135.68|74.13|137.18|136.21|134.46|63.05|135.75|-|0.29|106.19|NYQ||"40|589.32"|"299|454|751.00"|"742|458.00"|"1|309|213.53"|"161|365.00"||-|-|-|-|-|-|-|-|-|||USD|R|1.16|01/06/2021|12/14/2020|-|"12|995.00"|Þ||1.75||
ATT|CA|ABATTIS BOCUTCLS|ATT.CD|-0.01|0.00|0.00|0.0|0.0|0.08|0.08|0.00|0.00|28.00|0.00|0.08|0.01|0.08|0.00|0.00|0.07|0.00|-||0.04|   ||35.73|"479|554|139.00"|0.00|0.00|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|09/11/2012|09/11/2012|-|0.00| ||0.00||
BE|CA|BELEAVE INC|BE.CD|0.00|0.00|0.00|0.0|0.0|0.01|0.01|0.01|0.00|180.00|30.00|0.01|0.03|0.04|0.00|0.00|0.01|0.00|-||0.01|   ||2.55|"518|193|558.00"|0.00|"29|114.02"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|11/06/2018|11/06/2018|-|0.00| ||0.00||
BLO|CA|CANNABIX TECHNOL|BLO.CD|-0.06|0.00|0.00|55.3191|0.52|1.46|1.49|1.45|500.00|1.00|20.00|0.94|0.77|1.07|1.60|1.13|0.30|1.25|-||1.47|   ||98.82|"105|124|104.00"|"3|787|779.00"|"116|001.42"|"82|500.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|"2|268.00"|þ||0.47||
CBW|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
CRZ|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
CYX|CA|CALYX VENTURES|CYX.V|-0.02|0.00|0.00|0.0|0.0|0.01|0.00|0.00|0.00|0.00|0.00|0.01|0.01|0.02|0.00|0.00|0.01|0.00|-||0.00|   ||0.95|"94|781|658.00"|0.00|"30|350.00"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|0.00| ||0.00||
EMC|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
EMH|CA|EMRLD HLTH TRPUC|EMH.V|-0.77|0.00|0.00|-2.17|-0.005|0.23|0.23|0.23|"1|000.00"|10.00|11.00|0.23|0.27|0.39|0.24|0.23|0.12|0.23|-||0.23|   ||47.46|"206|360|872.00"|"256|201.00"|"404|405.02"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/09/2014|09/09/2014|-|110.00|þ||0.01||
FIRE|CA|THE SPRM CNBS CO|FIRE.TO|-0.27|0.00|0.00|-0.0|-0.0|0.18|0.18|0.18|"3|000.00"|76.00|"1|863.00"|0.18|0.50|0.62|0.19|0.18|0.12|0.18|-||0.18|TOR||93.26|"504|110|273.00"|"1|911|798.00"|"1|456|273.97"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|07/29/2014|07/29/2014|-|998.00|Þ||0.01||
GLH|CA|GOLDEN LEAF HOLD|GLH.CD|-0.05|0.00|0.00|-0.0|-0.0|0.03|0.03|0.03|"42|000.00"|"6|459.00"|"9|524.00"|0.03|0.03|0.04|0.03|0.03|0.01|0.03|-||0.03|   ||26.70|"883|030|286.00"|"517|914.00"|"1|167|643.93"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|43.00|Þ||0.00||
HC|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
HVST|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
IAN|CA|IANTHUS CAPI ORD|IAN.CD|-4.08|0.00|0.00|6.6667|0.025|0.40|0.40|0.40|"1|000.00"|52.00|1.00|0.38|2.25|2.32|0.41|0.37|0.07|0.37|-||0.40|   ||64.90|"171|718|192.00"|"655|102.00"|"449|548.44"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|259.00|Þ||0.04||
IMH|US|IMPAC MORTGAGE|IMH|-4.08|0.00|0.00|1.0345|0.03|2.93|3.00|0.00|0.00|38.00|0.00|2.90|6.75|7.85|3.04|2.81|1.10|2.87|-|0.98|1.50|ASQ||61.57|"21|229|857.00"|"59|135.00"|"118|621.82"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.00|01/12/2009|01/12/2009|-|176.00|þ||0.23||
ISOL|CA|ISODIOL INTRNTL|ISOL.CD|0.00|0.00|0.00|0.0|0.0|0.04|0.04|0.04|0.00|56.00|12.00|0.04|0.36|0.38|0.00|0.00|0.02|0.00|-||0.04|   ||2.82|"80|543|692.00"|0.00|"436|928.73"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|07/24/2018|07/24/2018|-|0.00| ||0.00||
LIB.CD|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
MDM|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
MJ|CA|TRUE LEAF BRANDS|MJ.CD|-1.09|0.00|0.00|-2.2727|-0.01|0.43|0.46|0.41|"1|000.00"|14.00|28.00|0.44|1.89|2.02|0.48|0.43|0.14|0.46|-||0.44|   ||12.96|"28|791|535.00"|"50|845.00"|"20|935.41"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/10/2020|12/10/2020|-|42.00|þ||0.05||
MJN|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
