Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AAU|US|ALMADEN MINERALS|AAU|-0.02|0.00|0.00|14.6076|0.0752|0.59|0.64|0.63|0.00|10.00|5.00|0.51|1.03|1.24|0.62|0.51|0.21|0.52|-|0.86|0.63|ASQ||79.56|"120|548|611.00"|"7|314|728.00"|"1|053|748.38"|"1|952|105.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|08/10/2015|08/10/2015|-|"8|335.00"|Þ||0.11||
ACB|CA|AURORA CANNABIS|ACB.TO|-34.94|0.00|0.00|0.68|0.09|13.41|13.45|13.40|"2|000.00"|62.00|7.00|13.32|31.31|36.24|13.76|13.02|4.93|13.40|-||13.43|TOR||"1|881.89"|"141|282|931.00"|"5|143|985.00"|"4|496|968.82"|"584|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/11/2020|05/11/2020|-|"17|872.00"|þ||0.74||
AEM|CA|AGNICO EAGLE MIN|AEM.TO|3.52|25.20|2.10|0.87|0.77|89.41|89.69|89.09|500.00|10.00|5.00|88.64|74.10|117.35|89.63|87.75|43.25|88.64|-||89.39|TOR||"21|479.36"|"242|991|213.00"|"541|521.00"|"718|598.56"|"43|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.86|03/22/2021|02/26/2021|-|"3|642.00"|þ||1.88||
AG|US|FIRST MAJESTIC S|AG|-0.26|0.00|0.00|0.8765|0.11|12.66|12.78|12.70|0.00|8.00|5.00|12.55|10.40|14.57|12.69|12.21|4.17|12.57|-|0.67|12.74|NYQ||"3|553.08"|"221|237|687.00"|"7|225|690.00"|"6|414|869.94"|"1|401|949.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|-|-|-|"24|166.00"|Þ||0.48||
AGI|CA|ALAMOS GOLD|AGI.TO|0.35|30.54|0.95|-1.2|-0.13|10.70|10.73|10.65|100.00|8.00|11.00|10.83|11.09|15.52|10.83|10.51|4.43|10.80|-||10.69|TOR||"4|286.78"|"392|697|670.00"|"801|841.00"|"993|854.76"|"52|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.10|12/21/2020|12/04/2020|-|"3|413.00"|þ||0.32||
ALO.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
APHA|CA|APHRIA INC|APHA.TO|-0.39|0.00|0.00|3.9|0.45|11.99|11.99|11.97|100.00|2.00|14.00|11.54|9.29|11.94|12.15|11.50|2.65|11.56|-||11.98|TOR||"3|655.24"|"316|745|571.00"|"6|219|661.00"|"3|520|367.71"|"618|700.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/08/2014|12/08/2014|-|"17|621.00"|Þ||0.65||
APT|US|ALPHA PRO TECH|APT|1.45|8.02|0.00|3.6113|0.42|12.05|12.20|12.10|0.00|1.00|4.00|11.63|38.18|41.59|13.09|11.65|3.41|11.75|-|0.75|12.15|ASQ||157.91|"13|577|845.00"|"2|316|045.00"|"1|525|760.52"|"71|110.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|-|-|-|"9|366.00"|þ||1.44||
AQN|CA|ALGONQUIN POWER|AQN.TO|1.11|19.48|3.68|-1.49|-0.32|21.21|21.28|21.19|600.00|2.00|1.00|21.53|8.55|22.39|21.60|21.12|13.84|21.60|-||21.23|TOR||"12|854.08"|"597|031|313.00"|"1|372|163.00"|"2|153|414.58"|"119|200.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.79|01/15/2021|12/30/2020|-|"6|363.00"|Þ||0.48||
ASM|CA|AVINO SILV GOLD|ASM.TO|-0.09|0.00|0.00|3.21|0.05|1.61|1.63|1.56|700.00|7.00|1.00|1.56|1.77|2.04|1.61|1.52|0.27|1.54|-||1.59|TOR||140.83|"89|582|862.00"|"105|909.00"|"141|737.07"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/12/1995|05/12/1995|-|318.00|Þ||0.09||
AUG.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AUY|US|YAMANA GOLD|AUY|0.12|44.81|1.94|-0.1848|-0.01|5.40|5.45|5.43|0.00|40.00|3.00|5.41|4.79|7.02|5.45|5.29|2.23|5.45|-|0.59|5.44|NYQ||"6|573.09"|"952|621|000.00"|"13|850|566.00"|"15|791|416.02"|"3|049|988.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.10|01/14/2021|12/30/2020|-|"25|103.00"|Þ||0.16||
AXU|CA|ALEXCO RESOURCES|AXU.TO|-0.22|0.00|0.00|0.28|0.01|3.64|3.66|3.62|600.00|29.00|10.00|3.63|3.65|4.65|3.66|3.41|1.00|3.66|-||3.64|TOR||497.52|"137|059|172.00"|"398|647.00"|"374|670.45"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|"1|654.00"|þ||0.25||
BAM|US|BROOKFIELD ASSET|BAM|-0.23|0.00|1.25|0.5453|0.21|38.72|42.68|38.00|0.00|1.00|1.00|38.51|24.03|45.61|38.94|38.08|21.57|38.51|-|0.29|40.34|NYQ||"74|258.98"|"1|571|078|809.00"|"1|737|600.00"|"2|246|394.65"|"56|093.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.48|12/31/2020|11/27/2020|-|"15|305.00"|Þ||0.86||
BB|CA|BLACKBERRY LTD|BB.TO|-1.93|0.00|0.00|-0.82|-0.08|9.67|9.69|9.67|500.00|206.00|24.00|9.75|8.60|12.54|9.83|9.56|3.94|9.83|-||9.68|TOR||"5|528.94"|"562|634|092.00"|"2|568|477.00"|"2|671|913.22"|"145|200.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|08/20/2007|08/15/2007|-|"8|653.00"|þ||0.27||
BCE|CA|BCE INC|BCE.TO|2.51|21.97|6.04|-0.38|-0.21|54.90|54.99|54.86|"1|100.00"|1.00|9.00|55.11|19.25|65.28|55.09|54.67|46.03|54.96|-||54.92|TOR||"49|837.50"|"904|327|728.00"|"1|902|251.00"|"2|684|714.97"|"228|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|3.33|01/15/2021|12/14/2020|-|"10|010.00"|þ||0.42||
BEP|US|BROKFLD RENWBLE|BEP|-0.49|0.00|2.43|-0.3148|-0.15|47.50|48.46|47.50|0.00|4.00|1.00|47.65|33.83|49.87|48.24|47.30|16.04|47.51|-|0.00|47.98|NYQ||"16|685.94"|"274|801|453.00"|"495|281.00"|"650|664.11"|"28|948.00"||-|-|-|-|-|-|-|-|-|||USD|R|1.16|12/11/2020|12/14/2020|-|"5|973.00"|Þ||0.94||
BGI|US|BIRKS GRUP INC|BGI|-0.49|0.00|0.00|-0.7937|-0.01|1.25|1.23|1.21|0.00|66.00|80.00|1.26|1.65|1.97|1.26|1.13|0.32|1.14|-|0.00|1.22|ASQ||22.64|"10|252|911.00"|"1|052|587.00"|"902|011.55"|"142|810.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|07/24/2012|-|-|"1|884.00"|Þ||0.13||
BHC|CA|BAUSCH HEALTH CO|BHC.TO|-7.26|0.00|0.00|-0.6|-0.18|29.82|29.86|29.78|500.00|9.00|10.00|30.00|23.40|39.70|30.42|29.61|16.30|30.13|-||29.82|TOR||"10|654.53"|"355|151|002.00"|"661|082.00"|"653|265.36"|"37|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/22/2010|11/10/2010|-|"4|657.00"|Þ||0.81||
