Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
PKI|CA|PARKLND CORP ORD|PKI.TO|1.29|34.36|2.73|-0.88|-0.39|44.09|44.29|43.93|100.00|1.00|1.00|44.48|31.65|49.22|45.10|43.72|17.57|44.66|-||44.11|TOR||"6|595.03"|"149|716|831.00"|"290|508.00"|"362|338.05"|"33|600.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.21|01/15/2021|12/21/2020|-|"2|063.00"|Þ||1.38||
PLC|CA|PARK LAWN CORP|PLC.TO|0.45|62.73|1.63|-0.5|-0.14|27.84|27.95|27.80|100.00|2.00|1.00|27.98|16.19|31.77|28.18|27.75|15.58|28.10|-||27.88|TOR||810.92|"28|982|057.00"|"69|721.00"|"75|467.31"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.46|01/15/2021|12/30/2020|-|572.00|Þ||0.43||
PLG|US|PLATINUM GRP MET|PLG|-0.11|0.00|0.00|1.6427|0.08|4.95|4.99|4.95|0.00|1.00|1.00|4.87|5.41|6.27|5.00|4.78|0.86|4.85|-|0.91|4.97|ASQ||440.35|"70|909|323.00"|"1|421|689.00"|"1|388|360.93"|"53|834.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|12/17/2018|12/17/2018|-|"5|724.00"|þ||0.22||
PLZ.UN|CA|PLAZA RETAIL UNT|PLZ_u.TO|-0.16|0.00|7.71|-0.0|-0.0|3.63|3.65|3.60|100.00|49.00|2.00|3.63|2.10|4.75|3.65|3.56|2.65|3.64|-||3.63|TOR||369.43|"101|772|620.00"|"131|680.00"|"65|425.48"|"64|700.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.28|01/15/2021|12/30/2020|-|149.00|Þ||0.09||
PMN|CA|PROMIS NEUROSCN|PMN.TO|-0.02|0.00|0.00|-0.0|-0.0|0.10|0.10|0.10|"20|000.00"|315.00|50.00|0.10|0.23|0.31|0.10|0.10|0.08|0.10|-||0.10|TOR||24.63|"289|730|760.00"|"145|100.00"|"295|143.68"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|20.00|þ||0.01||
PMT|CA|PERPETUAL EN ORD|PMT.TO|-1.79|0.00|0.00|13.33|0.01|0.09|0.09|0.07|"15|000.00"|129.00|116.00|0.07|0.15|0.16|0.09|0.08|0.01|0.08|-||0.08|TOR||4.64|"61|253|000.00"|"65|900.00"|"57|818.08"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/30/2016|03/30/2016|-|6.00|Þ||0.01||
PNC.B|CA|PSTMDA NWK VT NC|PNCb.TO|0.00|0.00|0.00|-0.59|-0.01|1.69|1.70|1.45|300.00|5.00|20.00|1.70|2.30|3.35|1.69|1.69|1.05|1.69|-||1.57|TOR||159.35|"93|686|277.00"|900.00|"2|057.62"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|10/11/2016|10/11/2016|-|2.00|þ||0.00||
PNE|CA|PINE CLIFF ENERG|PNE.TO|-0.17|0.00|0.00|13.73|0.035|0.29|0.29|0.28|"2|000.00"|39.00|100.00|0.26|0.26|0.31|0.29|0.26|0.05|0.26|-||0.28|TOR||85.50|"335|284|193.00"|"280|325.00"|"229|996.52"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|01/09/2012|-|32.00|Þ||0.03||
PNP|CA|PINETREE CPTL|PNP.TO|-0.09|0.00|0.00|0.0|0.0|1.67|1.75|1.67|0.00|100.00|20.00|1.67|1.02|1.87|0.00|0.00|0.85|0.00|-||1.71|TOR||15.11|"9|045|198.00"|0.00|"4|294.90"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|05/17/2017|-|0.00| ||0.00||
POM|CA|POLYMET MING ORD|POM.TO|-0.88|0.00|0.00|2.01|0.09|4.56|4.63|4.56|100.00|1.00|10.00|4.47|10.55|13.00|4.60|4.43|2.45|4.55|-||4.59|TOR||453.68|"100|699|716.00"|"5|000.00"|"16|379.97"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|08/26/2020|08/26/2020|-|39.00|þ||0.17||
