Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
GNC|CA|GAINEY CAPITAL|GNC.V|-0.01|0.00|0.00|-10.0|-0.005|0.04|0.05|0.04|"7|000.00"|52.00|139.00|0.05|0.06|0.08|0.04|0.04|0.02|0.04|-||0.05|   ||4.21|"84|196|472.00"|"7|000.00"|"144|481.16"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|1.00|þ||0.00||
GNF.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
GNG|CA|GOLDEN GOLIATH|GNG.V|-0.01|0.00|0.00|-0.0|-0.0|0.12|0.13|0.12|500.00|405.00|4.00|0.12|0.34|0.38|0.13|0.12|0.04|0.13|-||0.12|   ||16.55|"137|889|989.00"|"78|900.00"|"384|881.34"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|16.00|þ||0.01||
GNT|CA|GENTOR RESOURCES|GNT.V|-0.01|0.00|0.00|0.0|0.0|0.06|0.08|0.06|0.00|20.00|80.00|0.06|0.05|0.08|0.00|0.00|0.03|0.00|-||0.07|   ||2.33|"38|906|742.00"|0.00|"1|076.92"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/13/2017|09/13/2017|-|0.00| ||0.00||
GOE|CA|GOLDENEYE RESOUR|GOE.V|0.00|0.00|0.00|-9.09|-0.005|0.05|0.06|0.05|"10|000.00"|99.00|400.00|0.06|0.08|0.09|0.06|0.05|0.01|0.06|-||0.05|   ||1.67|"30|329|829.00"|"322|000.00"|"73|635.17"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|06/26/2015|06/26/2015|-|9.00|þ||0.00||
GOG|CA|GOLDEN TAG RES|GOG.V|-0.03|0.00|0.00|3.77|0.02|0.55|0.55|0.52|"1|500.00"|26.00|6.00|0.53|0.62|0.65|0.55|0.48|0.03|0.54|-||0.54|   ||88.08|"166|196|558.00"|"411|085.00"|"456|153.82"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|142.00|Þ||0.07||
GOK|CA|GINSMS INC|GOK.V|0.00|0.00|0.00|0.0|0.0|0.04|0.04|0.03|0.00|55.00|39.00|0.04|0.12|0.13|0.00|0.00|0.01|0.00|-||0.03|   ||5.24|"149|793|861.00"|0.00|"9|465.82"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|0.00| ||0.00||
GOM|CA|GOLDEN DAWN MNRL|GOM.V|-0.16|0.00|0.00|0.0|0.0|0.15|0.16|0.14|0.00|33.00|30.00|0.15|0.16|0.20|0.00|0.00|0.04|0.00|-||0.15|   ||5.65|"37|657|947.00"|306.00|"36|116.76"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|06/27/2019|06/27/2019|-|1.00| ||0.00||
GPG|CA|GRANDE PORTA ORD|GPG.V|-0.02|0.00|0.00|-0.0|-0.0|0.36|0.39|0.36|"1|000.00"|25.00|94.00|0.36|0.59|0.68|0.36|0.36|0.10|0.36|-||0.37|   ||28.81|"78|930|125.00"|"22|500.00"|"122|380.08"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|02/18/2016|02/18/2016|-|12.00|Þ||0.01||
GPH|CA|GRAPHITE ONE INC|GPH.V|-0.06|0.00|0.00|7.37|0.035|0.51|0.51|0.50|"5|000.00"|7.00|6.00|0.47|0.89|1.04|0.51|0.47|0.15|0.49|-||0.51|   ||20.48|"43|109|143.00"|"77|683.00"|"41|349.43"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/18/2019|03/18/2019|-|25.00|Þ||0.04||
GPL|US|GREAT PNTHR MING|GPL|-0.28|0.00|0.00|-0.362|-0.003|0.83|0.85|0.83|0.00|64.00|10.00|0.83|0.84|1.07|0.84|0.81|0.23|0.84|-|0.98|0.84|ASQ||380.76|"354|727|818.00"|"1|580|660.00"|"2|495|454.93"|"370|643.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|10/02/2003|10/03/2003|-|"2|980.00"|þ||0.03||
GPM|CA|GPM METALS INC|GPM.V|-0.01|0.00|0.00|-7.14|-0.005|0.07|0.07|0.07|"20|000.00"|50.00|45.00|0.07|0.06|0.09|0.07|0.07|0.03|0.07|-||0.07|   ||3.86|"63|116|559.00"|"20|000.00"|"32|652.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/12/2019|07/12/2019|-|1.00|þ||0.00||
