Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
NEE|CA|NORTHERN VERTEX|NEE.V|-0.07|0.00|0.00|-6.6|-0.035|0.49|0.50|0.49|"1|000.00"|20.00|89.00|0.53|0.57|0.72|0.52|0.48|0.15|0.52|-||0.49|   ||134.38|"251|559|288.00"|"186|616.00"|"238|321.50"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|55.00|Þ||0.04||
NEM.NLB|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
NER|CA|NEWMAC RESOURCES|NER.V|-0.02|0.00|0.00|0.0|0.0|0.07|0.13|0.07|0.00|11.00|17.00|0.07|0.13|0.16|0.00|0.00|0.03|0.00|-||0.10|   ||0.73|"9|716|042.00"|0.00|"2|572.95"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|05/16/2012|05/16/2012|-|0.00| ||0.00||
NET|US|CLOUDFLARE INC A|NET|-0.48|0.00|0.00|1.7255|1.32|77.82|78.20|77.75|0.00|15.00|1.00|76.50|73.72|88.77|78.22|75.69|15.05|77.00|-|0.69|77.97|NYQ||"23|508.53"|"233|509|000.00"|"2|964|710.00"|"5|555|949.92"|"213|364.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.00|-|-|-|"37|020.00"|þ||2.53||
NEV|CA|NEVADA SUNRISE G|NEV.V|-0.01|0.00|0.00|-13.33|-0.02|0.13|0.14|0.13|"6|000.00"|50.00|5.00|0.15|0.30|0.31|0.14|0.13|0.01|0.14|-||0.13|   ||11.09|"73|908|327.00"|"75|500.00"|"146|761.32"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/16/2013|12/16/2013|-|12.00|þ||0.01||
NFD.A|CA|NORTHFLD CPTL A|NFDa.V|-4.44|0.00|0.00|0.0|0.0|28.00|31.00|28.00|0.00|3.00|2.00|28.00|5.00|31.00|0.00|0.00|26.00|0.00|-||29.50|   ||63.34|"2|261|763.00"|0.00|187.31|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|0.00| ||0.00||
NGC|CA|NORTHRN GRAPHITE|NGC.V|-0.01|0.00|0.00|3.45|0.01|0.30|0.30|0.29|"3|000.00"|19.00|16.00|0.29|0.24|0.34|0.30|0.29|0.10|0.29|-||0.30|   ||18.88|"65|112|756.00"|"27|499.00"|"54|068.69"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|12.00|Þ||0.01||
NGE|CA|NEVADA EXPLRTN|NGE.V|-0.04|0.00|0.00|2.94|0.005|0.17|0.18|0.17|"10|000.00"|100.00|77.00|0.17|0.27|0.39|0.17|0.17|0.12|0.17|-||0.17|   ||17.74|"104|374|816.00"|"46|000.00"|"91|275.54"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|08/27/2015|08/27/2015|-|6.00|Þ||0.00||
NGZ.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
NHK|CA|NIGHTHAWK GOLD|NHK.TO|-0.07|0.00|0.00|-0.79|-0.01|1.26|1.30|1.26|100.00|125.00|54.00|1.27|1.93|2.90|1.29|1.26|0.97|1.28|-||1.28|TOR||64.84|"51|051|500.00"|"45|895.00"|"108|523.57"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|01/13/2020|01/13/2020|-|87.00|þ||0.03||
NIM|CA|NICOLA MINING IN|NIM.V|-0.01|0.00|0.00|-0.0|-0.0|0.14|0.14|0.14|"2|500.00"|157.00|142.00|0.14|0.17|0.21|0.14|0.14|0.04|0.14|-||0.14|   ||38.18|"263|314|888.00"|"19|500.00"|"191|328.22"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|06/01/2015|06/01/2015|-|4.00|Þ||0.00||
