Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
WHN|CA|WESTHVN GOLD ORD|WHN.V|-0.02|0.00|0.00|1.25|0.01|0.81|0.82|0.81|"2|000.00"|3.00|11.00|0.80|0.90|1.25|0.81|0.80|0.35|0.80|-||0.81|   ||82.10|"102|622|409.00"|"16|150.00"|"127|388.02"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|13.00|Þ||0.01||
WHY|CA|WEST HIGH YIELD|WHY.V|-0.02|0.00|0.00|4.76|0.01|0.22|0.22|0.20|"2|500.00"|4.00|43.00|0.21|0.23|0.30|0.22|0.21|0.07|0.21|-||0.21|   ||14.23|"67|770|320.00"|"24|321.00"|"29|750.38"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|8.00|Þ||0.01||
WIL|CA|WILTON RESOURCES|WIL.V|-0.03|0.00|0.00|-8.57|-0.03|0.32|0.40|0.32|"10|000.00"|14.00|3.00|0.35|0.48|0.65|0.33|0.32|0.17|0.33|-||0.36|   ||20.71|"59|163|832.00"|"11|197.00"|"10|674.08"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|3.00|þ||0.01||
WKG|CA|WSTKM GLD CP ORD|WKG.V|-0.06|0.00|0.00|-0.0|-0.0|0.16|0.16|0.15|500.00|1.00|17.00|0.16|0.22|0.30|0.16|0.16|0.07|0.16|-||0.16|   ||3.64|"22|735|107.00"|950.00|"19|705.12"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/04/2019|12/04/2019|-|2.00| ||0.00||
WKM.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
WLF|CA|WLFDN RSURCS CRP|WLF.V|0.00|0.00|0.00|-1.54|-0.005|0.32|0.34|0.28|"9|500.00"|40.00|46.00|0.33|0.29|0.35|0.33|0.32|0.07|0.33|-||0.31|   ||42.52|"130|084|505.00"|"56|815.00"|"167|378.47"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|14.00|þ||0.01||
WML|CA|WEALTH MNRLS LTD|WML.V|-0.05|0.00|0.00|30.77|0.04|0.17|0.17|0.17|"5|000.00"|102.00|20.00|0.13|0.31|0.38|0.17|0.14|0.07|0.14|-||0.17|   ||20.56|"158|118|262.00"|"1|002|760.00"|"91|012.05"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/31/2014|10/31/2014|-|108.00|Þ||0.04||
WMR|CA|WESTMINSTER RESO|WMR.V|-0.05|0.00|0.00|0.0|0.0|0.20|0.23|0.18|0.00|26.00|5.00|0.20|0.20|0.24|0.00|0.00|0.04|0.00|-||0.21|   ||3.79|"18|962|903.00"|0.00|"6|819.38"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|08/29/2019|08/29/2019|-|0.00| ||0.00||
WMT|US|WALMART INC|WMT|6.93|21.26|1.47|1.1406|1.68|148.97|148.90|148.68|0.00|16.00|3.00|147.29|51.66|153.66|149.93|148.32|102.00|149.00|-|0.24|148.79|NYQ||"416|725.50"|"2|829|285|926.00"|"7|791|143.00"|"8|361|794.49"|"1|266|344.00"||-|-|-|-|-|-|-|-|-|||USD|R|2.16|01/04/2021|12/10/2020|-|"86|284.00"|þ||1.61||
WP|CA|WSTRN PACIFC TR|WP.V|0.00|36.10|0.00|0.0|0.0|0.10|0.00|0.08|0.00|0.00|48.00|0.10|0.04|0.13|0.00|0.00|0.10|0.00|-||0.04|   ||2.50|"25|018|558.00"|0.00|69.23|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/02/1999|07/02/1999|-|0.00| ||0.00||
