Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AP.UN|CA|ALLIED PPTYS|AP_u.TO|5.62|6.70|4.39|-0.4|-0.15|37.46|37.60|37.32|300.00|2.00|1.00|37.61|28.65|60.14|37.67|37.22|31.49|37.60|-||37.46|TOR||"4|786.09"|"127|255|857.00"|"116|916.00"|"297|678.52"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|1.65|01/15/2021|12/30/2020|-|976.00|Þ||0.45||
APR.UN|CA|AUTMV REL EST UN|APR_u.TO|0.12|87.79|7.42|-0.83|-0.09|10.74|10.80|10.74|100.00|40.00|3.00|10.83|7.59|12.89|10.81|10.73|5.30|10.81|-||10.77|TOR||408.26|"37|697|052.00"|"22|825.00"|"61|626.52"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.80|01/15/2021|12/30/2020|-|93.00|þ||0.08||
AX.UN|CA|ARTIS RL EST UN|AX_u.TO|0.03|394.89|5.29|0.19|0.02|10.54|10.63|10.51|"1|100.00"|4.00|4.00|10.52|8.26|13.67|10.68|10.50|5.41|10.50|-||10.57|TOR||"1|417.24"|"134|718|383.00"|"196|199.00"|"296|339.90"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.56|01/15/2021|12/30/2020|-|"1|354.00"|þ||0.18||
BEI.UN|CA|BRDWALK REIT UN|BEI_u.TO|-4.63|0.00|2.90|-0.52|-0.18|34.37|34.48|34.27|100.00|3.00|10.00|34.55|36.04|51.84|34.85|34.21|15.80|34.84|-||34.38|TOR||"1|608.27"|"46|548|948.00"|"139|051.00"|"151|942.82"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|1.00|02/15/2021|01/28/2021|-|"1|025.00"|Þ||0.64||
BPY.UN|CA|BROOKFIELD PR UN|BPY_u.TO|-1.35|0.00|7.92|0.14|0.03|21.42|21.44|21.36|200.00|19.00|2.00|21.39|16.33|26.38|21.47|21.34|10.05|21.40|-||21.40|TOR||"15|622.53"|"932|688|443.00"|"716|440.00"|"1|111|070.88"|"62|600.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.69|12/31/2020|11/27/2020|-|"2|969.00"|þ||0.13||
BTB.UN|CA|BTB REAL EST UN|BTB_u.TO|0.65|5.50|8.36|0.56|0.02|3.61|3.61|3.60|100.00|90.00|72.00|3.59|3.21|5.50|3.61|3.57|2.29|3.59|-||3.60|TOR||227.75|"63|367|041.00"|"72|044.00"|"157|718.72"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.30|01/15/2021|12/30/2020|-|211.00|Þ||0.04||
CAR.UN|CA|CDN APART UN|CAR_u.TO|5.57|8.91|2.78|-0.46|-0.23|49.40|49.56|49.35|200.00|1.00|2.00|49.63|24.89|61.29|49.82|49.32|36.40|49.55|-||49.45|TOR||"8|495.74"|"171|181|543.00"|"295|955.00"|"398|479.02"|"37|100.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.38|01/15/2021|12/30/2020|-|"1|764.00"|þ||0.50||
CHP.UN|CA|CHOICE PROPER UN|CHP_u.TO|0.89|14.53|5.74|-0.93|-0.12|12.77|12.80|12.76|"1|600.00"|7.00|3.00|12.89|4.56|15.14|12.90|12.72|10.58|12.89|-||12.78|TOR||"4|214.28"|"326|941|663.00"|"687|709.00"|"450|095.08"|"220|900.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.74|01/15/2021|12/30/2020|-|"2|260.00"|Þ||0.18||
CRR.UN|CA|CROMBIE REAL EST|CRR_u.TO|-0.05|0.00|6.22|0.56|0.08|14.40|14.47|14.29|"1|300.00"|3.00|3.00|14.32|7.45|16.71|14.46|14.31|9.26|14.31|-||14.38|TOR||"1|339.40"|"93|525|601.00"|"97|241.00"|"162|556.00"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.89|01/15/2021|12/30/2020|-|719.00|þ||0.15||
CRT.UN|CA|CT REAL ESTAT UN|CRT_u.TO|0.35|44.73|5.16|-0.83|-0.13|15.45|15.50|15.40|300.00|3.00|21.00|15.58|8.08|17.22|15.67|15.40|9.14|15.51|-||15.45|TOR||"1|639.81"|"105|250|773.00"|"184|339.00"|"165|299.88"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.80|01/15/2021|12/30/2020|-|"1|230.00"|þ||0.27||
CSH.UN|CA|CHRWL RTR RSD UN|CSH_u.TO|-0.04|0.00|5.79|0.66|0.07|10.64|10.65|10.60|300.00|1.00|7.00|10.57|8.37|14.62|10.77|10.53|6.25|10.60|-||10.63|TOR||"2|278.63"|"213|824|985.00"|"654|848.00"|"352|379.95"|"15|500.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.61|01/15/2021|12/30/2020|-|"3|386.00"|þ||0.24||
CUF.UN|CA|COMINAR RE UN|CUF_u.TO|0.49|16.27|4.47|-0.12|-0.01|8.04|8.05|8.02|600.00|18.00|3.00|8.05|8.63|15.40|8.15|8.02|6.77|8.03|-||8.04|TOR||"1|468.73"|"182|451|026.00"|"165|536.00"|"535|810.57"|"16|100.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.36|12/31/2020|12/14/2020|-|731.00|Þ||0.13||
