Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AAD|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AAO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AAP|US|ADV AUTO PARTS|AAP|6.88|24.86|0.58|3.3037|5.65|176.67|186.00|159.26|0.00|2.00|1.00|171.02|102.52|173.85|177.92|170.69|71.33|170.84|-|0.37|172.63|NYQ||"11|604.48"|"74|673|539.00"|"1|101|040.00"|"849|124.88"|"154|718.00"||-|-|-|-|-|-|-|-|-|||USD|R|1.00|01/04/2021|12/17/2020|-|"16|887.00"|Þ||7.22||
ADYA|CA|ADYA INC|ADYA.V|-0.04|0.00|0.00|46.15|0.03|0.10|0.10|0.07|"1|000.00"|36.00|43.00|0.07|0.06|0.13|0.10|0.09|0.07|0.09|-||0.08|   ||1.53|"23|613|540.00"|"3|000.00"|"1|466.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|08/02/2019|08/02/2019|-|2.00|Þ||0.01||
AFCC|CA|AUTOMOTIVE FINCO|AFCC.V|-0.11|0.00|13.24|-1.94|-0.03|1.52|1.52|1.50|400.00|108.00|81.00|1.55|1.24|1.74|1.54|1.49|0.50|1.54|-||1.51|   ||34.91|"23|123|773.00"|"38|400.00"|"8|377.59"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.21|01/29/2021|12/30/2020|-|16.00|þ||0.05||
AHP|CA|ALLIED HTL PPTY|AHP.V|0.05|4.65|0.00|0.0|0.0|0.22|0.25|0.20|0.00|32.00|27.00|0.22|0.14|0.23|0.00|0.00|0.09|0.00|-||0.23|   ||23.39|"106|327|265.00"|0.00|"2|045.52"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|04/01/2020|04/02/2020|-|0.00| ||0.00||
AHS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
APL|CA|APPULSE CORP|APL.V|0.09|4.35|0.00|0.0|0.0|0.39|0.39|0.36|0.00|96.00|23.00|0.39|0.38|0.47|0.00|0.00|0.10|0.00|-||0.38|   ||5.44|"13|947|304.00"|0.00|"8|585.44"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|0.00| ||0.00||
AVE|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AXIS|CA|AXIS AUTO FINNCE|AXIS.V|0.01|48.03|0.00|0.0|0.0|0.33|0.33|0.32|0.00|100.00|10.00|0.33|0.37|0.51|0.00|0.00|0.14|0.00|-||0.33|   ||32.04|"97|104|471.00"|110.00|"57|821.08"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|08/04/2016|08/04/2016|-|2.00| ||0.00||
