Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
KLS|CA|KELSO TECH INC|KLS.TO|0.04|19.64|0.00|-3.49|-0.03|0.83|0.87|0.80|500.00|1.00|2.00|0.86|0.77|1.32|0.90|0.78|0.55|0.86|-||0.83|TOR||40.89|"47|170|086.00"|"125|820.00"|"28|377.98"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|07/01/2015|04/13/2015|-|149.00|þ||0.12||
KOR|CA|CORVUS GOLD|KOR.TO|-0.17|0.00|0.00|-1.61|-0.05|3.05|3.08|3.05|800.00|14.00|29.00|3.10|3.27|4.26|3.10|3.04|0.98|3.08|-||3.06|TOR||392.56|"126|632|845.00"|"69|620.00"|"131|682.35"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|238.00|þ||0.06||
LAC|CA|LITHIUM AMERICAS|LAC.TO|-0.45|0.00|0.00|2.36|0.56|24.28|24.31|24.20|200.00|1.00|4.00|23.72|22.40|25.30|24.38|22.74|2.90|23.96|-||24.25|TOR||||"959|352.00"|"653|111.50"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|11/08/2017|11/08/2017|-|"6|005.00"|Þ||1.64||
LAM|CA|LARAMIDE RES|LAM.TO|-0.02|0.00|0.00|-14.47|-0.055|0.33|0.34|0.32|"2|000.00"|8.00|171.00|0.38|0.30|0.40|0.38|0.32|0.10|0.38|-||0.33|TOR||63.16|"166|221|203.00"|"1|674|239.00"|"324|532.08"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|08/21/2008|08/19/2008|-|196.00|þ||0.05||
LEM|CA|LEADING EDGE CRP|LEM.V|-0.11|0.00|0.00|12.5|0.04|0.36|0.36|0.34|"1|000.00"|6.00|1.00|0.32|0.42|0.43|0.37|0.32|0.01|0.32|-||0.35|   ||63.44|"178|697|668.00"|"166|491.00"|"102|374.38"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|39.00|þ||0.05||
LGC|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
LIO|CA|LION ONE METALS|LIO.V|-0.02|0.00|0.00|1.9|0.03|1.61|1.64|1.60|"1|000.00"|74.00|10.00|1.58|1.94|2.66|1.62|1.55|0.72|1.60|-||1.62|   ||245.67|"155|490|353.00"|"133|262.00"|"199|972.85"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|91.00|þ||0.07||
LLG|CA|MASON GRPHT IN|LLG.V|-0.34|0.00|0.00|4.35|0.02|0.48|0.48|0.48|"2|500.00"|11.00|21.00|0.46|0.45|0.57|0.48|0.47|0.12|0.47|-||0.48|   ||62.66|"136|227|585.00"|"72|706.00"|"193|327.22"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|45.00|þ||0.02||
LMR|CA|LOMIKO METALS|LMR.V|-0.02|0.00|0.00|-0.0|-0.0|0.09|0.10|0.09|"20|000.00"|292.00|846.00|0.09|0.08|0.10|0.10|0.09|0.02|0.09|-||0.09|   ||13.52|"150|198|191.00"|"612|001.00"|"407|542.18"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/19/2016|12/19/2016|-|46.00|Þ||0.01||
LUC|CA|LUCARA DIAMND|LUC.TO|-0.05|0.00|0.00|3.33|0.02|0.62|0.63|0.62|"3|500.00"|20.00|141.00|0.60|0.50|0.90|0.63|0.59|0.40|0.60|-||0.63|TOR||240.02|"396|896|733.00"|"418|631.00"|"155|528.41"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|09/19/2019|09/05/2019|-|89.00|þ||0.04||
