Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
AAB|CA|ABERDEEN INTL|AAB.TO|0.11|1.27|0.00|6.9|0.01|0.15|0.15|0.14|"3|500.00"|50.00|5.00|0.14|0.14|0.15|0.15|0.14|0.01|0.14|-||0.15|TOR||16.25|"112|052|282.00"|"361|276.00"|"317|970.52"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|09/30/2012|09/24/2012|-|47.00|Þ||0.01||
AAV|CA|ADVNTG OIL & GAS|AAV.TO|-1.66|0.00|0.00|17.32|0.31|2.10|2.11|2.08|100.00|157.00|4.00|1.79|1.74|2.72|2.11|1.83|0.98|1.83|-||2.09|TOR||335.76|"188|112|797.00"|"3|198|490.00"|"803|508.20"|"497|600.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/16/2009|02/25/2009|-|"3|909.00"|þ||0.28||
ABT.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
ABX|CA|BARRICK GOLD|ABX.TO|2.27|13.25|1.52|-0.27|-0.08|29.95|30.00|29.95|"1|000.00"|20.00|1.00|30.03|23.57|41.09|30.20|29.57|17.52|30.10|-||29.98|TOR||"53|395.38"|"1|778|126|000.00"|"4|522|121.00"|"4|724|810.39"|"768|800.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.46|12/15/2020|11/27/2020|-|"13|784.00"|Þ||0.63||
AC|CA|AIR CANADA|AC.TO|0.00|0.00|0.00|3.31|0.74|23.13|23.20|23.13|700.00|14.00|4.00|22.39|43.45|52.71|23.24|22.26|9.26|22.51|-||23.16|TOR||"7|437.34"|"332|171|985.00"|"3|645|423.00"|"5|158|925.43"|"241|500.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|"16|614.00"|þ||0.98||
ACD|CA|ACCORD FIN CP|ACD.TO|-0.19|0.00|2.94|-1.18|-0.08|6.72|6.92|6.73|100.00|2.00|3.00|6.80|6.39|9.90|6.81|6.72|3.51|6.81|-||6.83|TOR||58.40|"8|558|913.00"|"4|100.00"|"1|728.76"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.20|12/01/2020|11/12/2020|-|6.00|þ||0.09||
ACO.X|CA|ATCO LTD CL 1|ACOx.TO|2.34|15.84|4.70|-0.35|-0.13|36.89|37.03|36.80|100.00|1.00|1.00|37.02|27.25|54.97|37.05|36.70|27.72|37.02|-||36.91|TOR||"4|259.30"|"101|472|899.00"|"260|413.00"|"218|070.98"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|1.74|12/31/2020|12/02/2020|-|"1|859.00"|þ||0.35||
ACQ|CA|AUTOCANADA INC|ACQ.TO|-1.81|0.00|0.00|8.91|2.23|27.25|27.34|27.25|100.00|11.00|13.00|25.02|26.05|30.65|27.44|25.08|4.60|25.11|-||27.30|TOR||687.04|"27|459|683.00"|"171|464.00"|"199|784.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/16/2020|02/28/2020|-|967.00|þ||2.36||
AD.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
ADN|CA|ACADIAN TIMBER|ADN.TO|1.38|11.76|7.16|0.99|0.16|16.37|16.43|16.31|100.00|1.00|2.00|16.21|7.51|18.62|16.41|16.10|11.11|16.20|-||16.37|TOR||270.49|"16|686|916.00"|"16|912.00"|"11|455.84"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|1.16|01/15/2021|12/30/2020|-|90.00|þ||0.31||
ADW.A|CA|ANDREW PELLER A|ADWa.TO|0.74|13.71|2.12|0.49|0.05|10.20|10.36|10.20|200.00|3.00|3.00|10.15|5.68|11.68|10.36|10.17|6.00|10.36|-||10.28|TOR||455.13|"35|477|937.00"|"21|845.00"|"19|927.36"|"10|600.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.22|01/08/2021|12/30/2020|-|58.00|Þ||0.19||
null|US|ABRDN EMG ME FD|AEF.A|-0.97|0.00|2.29|0.7075|0.06|8.54|8.80|4.99|0.00|1.00|1.00|8.48|4.26|8.64|8.56|8.52|4.38|8.52|-|0.00|6.90|ASE||430.38|"50|751|778.00"|"1|955.00"|"7|956.70"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.19|01/08/2021|12/30/2020|-|12.00|þ||0.04||
AEM|CA|AGNICO EAGLE MIN|AEM.TO|3.52|25.20|2.10|0.87|0.77|89.41|89.69|89.09|500.00|10.00|5.00|88.64|74.10|117.35|89.63|87.75|43.25|88.64|-||89.39|TOR||"21|479.36"|"242|991|213.00"|"541|521.00"|"718|598.56"|"43|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.86|03/22/2021|02/26/2021|-|"3|642.00"|þ||1.88||
