Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
CU|CA|CDN UTILITIES|CU.TO|1.49|21.09|5.54|-0.8|-0.25|31.19|31.20|31.18|100.00|1.00|1.00|31.44|17.72|42.97|31.47|31.14|25.25|31.47|-||31.19|TOR||"8|584.55"|"199|802|036.00"|"675|186.00"|"471|150.40"|"318|600.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.74|12/01/2020|11/04/2020|-|"2|151.00"|þ||0.33||
CUF.UN|CA|COMINAR RE UN|CUF_u.TO|0.49|16.27|4.47|-0.12|-0.01|8.04|8.05|8.02|600.00|18.00|3.00|8.05|8.63|15.40|8.15|8.02|6.77|8.03|-||8.04|TOR||"1|468.73"|"182|451|026.00"|"165|536.00"|"535|810.57"|"16|100.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.36|12/31/2020|12/14/2020|-|731.00|Þ||0.13||
CUP.U|CA|CARIB UTIL LTD|CUPu.TO|0.71|21.01|4.67|-0.0|-0.0|15.00|15.00|14.65|"3|100.00"|9.00|5.00|15.00|3.86|17.12|15.01|15.00|13.26|15.01|-||14.82|TOR||555.44|"37|029|541.00"|"3|745.00"|"2|195.05"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.70|12/15/2020|11/30/2020|-|4.00|þ||0.01||
CVE|CA|CENOVUS ENERGY|CVE.TO|-1.72|0.00|0.00|-1.58|-0.13|8.09|8.10|8.09|500.00|110.00|12.00|8.22|10.79|12.85|8.33|8.08|2.06|8.29|-||8.09|TOR||"16|582.93"|"2|017|387|906.00"|"6|466|881.00"|"5|573|286.89"|"1|255|200.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/31/2020|03/12/2020|-|"10|716.00"|þ||0.25||
CVG|CA|CLAIRVEST GP|CVG.TO|5.86|9.22|0.19|2.39|1.29|55.30|56.00|53.90|100.00|1.00|5.00|54.01|24.24|59.94|55.30|55.30|35.70|55.30|-||54.95|TOR||819.12|"15|165|997.00"|115.00|671.16|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.10|11/23/2020|11/06/2020|-|2.00|Þ||0.00||
CWB|CA|CDN WESTERN BK|CWB.TO|2.85|10.60|3.84|1.23|0.37|30.55|30.62|30.54|200.00|10.00|45.00|30.18|18.30|34.00|31.22|30.24|15.70|30.24|-||30.58|TOR||"2|628.67"|"87|099|831.00"|"300|805.00"|"301|417.80"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|1.16|01/07/2021|12/16/2020|-|"1|842.00"|þ||0.98||
CWI|US|SPDR MSCI ACWI|CWI|0.00|0.00|3.38|0.8395|0.24|28.83|0.00|0.00|0.00|0.00|0.00|28.59|11.89|28.94|28.85|28.61|17.05|28.64|-|0.94|0.00|   ||―|"42|200|000.00"|"607|099.00"|"157|021.33"|"12|700.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.97|12/28/2020|12/18/2020|-|"1|562.00"|Þ||0.24||
CWL|CA|CALDWELL PRT INT|CWL.TO|0.14|7.60|0.00|3.77|0.04|1.10|1.10|1.08|"2|500.00"|5.00|105.00|1.06|0.82|1.38|1.10|1.07|0.56|1.07|-||1.09|TOR||21.63|"20|404|555.00"|"23|300.00"|"9|416.67"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/16/2020|01/20/2020|-|10.00|Þ||0.03||
CWX|CA|CANWEL BLDG MTR|CWX.TO|0.62|12.58|6.20|-1.29|-0.1|7.64|7.66|7.58|200.00|2.00|3.00|7.74|5.17|7.90|7.78|7.57|2.73|7.74|-||7.62|TOR||603.22|"77|935|719.00"|"230|183.00"|"212|255.17"|"99|700.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.48|01/15/2021|12/30/2020|-|616.00|þ||0.21||
CXI|CA|CURRENCY EXCHANG|CXI.TO|-0.90|0.00|0.00|0.0|0.0|10.99|11.00|10.46|0.00|1.00|7.00|10.99|9.44|18.24|0.00|0.00|8.80|0.00|-||10.73|TOR||71.06|"6|414|936.00"|1.00|"8|860.34"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|1.00| ||0.00||
