Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
IAE|US|VOYA ASIA PACIFI|IAE|0.00|0.00|9.62|-0.783|-0.07|8.87|9.20|8.30|0.00|1.00|12.00|8.94|3.78|8.98|8.99|8.84|5.20|8.98|-|0.00|8.75|NYQ||106.38|"11|898|854.00"|"34|022.00"|"37|380.41"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.86|01/15/2021|12/30/2020|-|160.00|þ||0.15||
IAG|CA|iA FINANCIAL CRP|IAG.TO|5.70|9.86|3.45|0.09|0.05|56.28|56.42|56.26|"48|500.00"|23.00|1.00|56.23|45.85|76.23|57.09|56.22|30.38|56.55|-||56.34|TOR||"6|020.20"|"107|063|827.00"|"218|016.00"|"256|165.13"|"48|500.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.94|12/15/2020|11/19/2020|-|"1|163.00"|þ||0.87||
IAM|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
IBG|CA|IBI GROUP|IBG.TO|0.45|18.71|0.00|-0.36|-0.03|8.42|8.52|8.40|100.00|2.00|2.00|8.45|5.71|8.50|8.59|8.38|2.79|8.50|-||8.46|TOR||264.06|"31|250|044.00"|"165|609.00"|"31|116.38"|"128|700.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|11/06/2015|11/17/2015|-|87.00|þ||0.21||
ICE|CA|CANLAN ICE|ICE.TO|-0.30|0.00|0.00|2.63|0.1|3.90|3.90|3.75|100.00|2.00|1.00|3.80|3.15|5.58|3.90|3.90|2.43|3.90|-||3.83|TOR||50.68|"13|337|448.00"|100.00|488.24|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|01/16/2020|12/27/2019|-|1.00|Þ||0.00||
IDG|CA|INDIGO BOOKS|IDG.TO|-7.06|0.00|0.00|-1.29|-0.04|3.05|3.08|2.98|100.00|3.00|32.00|3.09|3.19|4.01|3.08|2.90|0.82|3.02|-||3.03|TOR||||"36|699.00"|"65|432.92"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/03/2013|11/15/2013|-|168.00|Þ||0.18||
IFA|CA|IFABRIC CORP|IFA.TO|-0.02|0.00|0.00|-1.65|-0.07|4.18|4.44|4.18|200.00|1.00|3.00|4.25|7.05|7.87|4.34|4.18|0.82|4.34|-||4.31|TOR||112.52|"26|475|750.00"|425.00|"5|204.78"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|4.00|þ||0.16||
IFC|CA|INTACT FNCL CORP|IFC.TO|6.28|22.77|2.32|0.1|0.15|143.20|143.65|143.20|100.00|1.00|1.00|143.05|52.93|157.74|144.34|142.21|104.81|143.08|-||143.43|TOR||"20|458.74"|"143|018|134.00"|"253|593.00"|"266|303.52"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|3.32|12/31/2020|12/14/2020|-|"2|047.00"|þ||2.13||
IFP|CA|INTERFOR CORPORA|IFP.TO|1.33|17.62|0.00|-2.26|-0.53|22.89|22.91|22.80|100.00|38.00|2.00|23.42|19.74|24.49|23.50|22.35|4.75|23.48|-||22.86|TOR||"1|575.58"|"67|274|878.00"|"547|707.00"|"381|092.40"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/31/1991|05/09/1991|-|"3|271.00"|þ||1.15||
IGM|CA|IGM FINANCIAL|IGM.TO|3.05|11.56|6.37|3.23|1.14|36.46|36.50|36.46|200.00|1.00|1.00|35.32|19.42|40.38|36.49|35.36|20.96|35.43|-||36.48|TOR||"8|417.05"|"238|308|284.00"|"340|384.00"|"238|487.95"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|2.25|01/29/2021|12/30/2020|-|"2|197.00"|þ||1.13||
