Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
A|CA|ARMOR MINERALS|A.V|0.00|0.00|0.00|21.88|0.14|0.78|0.80|0.62|500.00|9.00|3.00|0.64|0.66|0.97|0.80|0.60|0.32|0.60|-||0.71|   ||47.96|"74|943|371.00"|"12|075.00"|"1|972.53"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/29/2014|09/29/2014|-|13.00|þ||0.20||
AAN|CA|ATON RESOURC ORD|AAN.V|-0.04|0.00|0.00|-6.67|-0.02|0.28|0.33|0.28|"1|500.00"|12.00|6.00|0.30|0.45|0.65|0.29|0.28|0.20|0.29|-||0.31|   ||10.11|"33|698|321.00"|"23|244.00"|"10|885.99"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/21/2020|09/21/2020|-|8.00|þ||0.01||
AAP|US|ADV AUTO PARTS|AAP|6.88|24.86|0.58|3.3037|5.65|176.67|186.00|159.26|0.00|2.00|1.00|171.02|102.52|173.85|177.92|170.69|71.33|170.84|-|0.37|172.63|NYQ||"11|604.48"|"74|673|539.00"|"1|101|040.00"|"849|124.88"|"154|718.00"||-|-|-|-|-|-|-|-|-|||USD|R|1.00|01/04/2021|12/17/2020|-|"16|887.00"|Þ||7.22||
AAT|CA|ATI AIRTEST|AAT.V|-0.01|0.00|0.00|6.67|0.005|0.08|0.08|0.07|"4|000.00"|1.00|32.00|0.07|0.11|0.12|0.08|0.07|0.01|0.07|-||0.08|   ||6.42|"85|627|581.00"|"190|500.00"|"79|506.70"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/12/2011|10/12/2011|-|16.00|Þ||0.01||
AAX|CA|ADVANCE GOLD|AAX.V|-0.01|0.00|0.00|-4.76|-0.005|0.10|0.10|0.10|"25|000.00"|61.00|85.00|0.10|0.18|0.21|0.10|0.10|0.03|0.10|-||0.10|   ||5.36|"51|088|447.00"|"469|724.00"|"92|711.16"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/01/2014|12/01/2014|-|29.00|Þ||0.01||
AAZ|CA|AZINCOURT ENERGY|AAZ.V|-0.02|0.00|0.00|-0.0|-0.0|0.05|0.05|0.04|"10|000.00"|275.00|875.00|0.05|0.04|0.06|0.06|0.04|0.01|0.05|-||0.05|   ||10.01|"200|132|750.00"|"2|392|218.00"|"527|873.15"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/01/2015|10/01/2015|-|80.00|Þ||0.01||
ABI|CA|ABCOURT MINES|ABI.V|0.00|136.75|0.00|-3.13|-0.005|0.15|0.16|0.15|"7|000.00"|189.00|128.00|0.16|0.20|0.24|0.15|0.15|0.04|0.15|-||0.15|   ||49.82|"311|389|130.00"|"128|698.00"|"384|476.77"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|11/02/1995|-|11.00|Þ||0.01||
ABM|US|ABM INDS INC|ABM|0.00|"13|707.07"|1.87|2.2599|0.92|41.63|41.87|17.00|0.00|3.00|2.00|40.71|22.00|41.79|41.88|40.52|19.79|40.91|-|0.40|29.43|NYQ||"2|717.74"|"66|758|670.00"|"207|009.00"|"354|748.74"|"28|502.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.76|02/01/2021|01/06/2021|-|"3|062.00"|Þ||1.36||
ABN|CA|ABEN RESOURCES L|ABN.V|-0.01|0.00|0.00|-6.67|-0.005|0.07|0.07|0.07|"34|000.00"|95.00|201.00|0.07|0.12|0.16|0.07|0.07|0.04|0.07|-||0.07|   ||9.66|"128|734|488.00"|"163|830.00"|"286|964.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|08/13/2015|08/13/2015|-|9.00|þ||0.00||
ABR|CA|ARBOR METALS CRP|ABR.V|-0.01|0.00|0.00|0.45|0.01|2.21|2.21|2.20|400.00|45.00|18.00|2.20|2.16|2.20|2.21|2.20|0.04|2.20|-||2.21|   ||112.35|"51|070|075.00"|"56|328.00"|"61|548.07"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/26/2020|03/26/2020|-|31.00|Þ||0.01||
ABZ|CA|ASIABS MTL A ORD|ABZ.V|-0.02|0.00|0.00|0.0|0.0|0.24|0.25|0.23|0.00|9.00|2.00|0.24|0.46|0.64|0.00|0.00|0.18|0.00|-||0.24|   ||10.95|"44|674|158.00"|0.00|"1|745.17"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/12/2018|07/12/2018|-|0.00| ||0.00||
ACB|CA|AURORA CANNABIS|ACB.TO|-34.94|0.00|0.00|0.68|0.09|13.41|13.45|13.40|"2|000.00"|62.00|7.00|13.32|31.31|36.24|13.76|13.02|4.93|13.40|-||13.43|TOR||"1|881.89"|"141|282|931.00"|"5|143|985.00"|"4|496|968.82"|"584|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/11/2020|05/11/2020|-|"17|872.00"|þ||0.74||
ACH|US|ALUMINUM CHINA|ACH|-0.01|0.00|0.00|0.4474|0.04|8.98|0.00|8.58|0.00|0.00|3.00|8.94|5.35|9.95|8.99|8.90|4.60|8.94|-|0.65|4.29|NYQ||"8|680.06"|"98|599|149|200.00"|"57|664.00"|"76|660.04"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.00|08/11/2011|04/26/2011|-|845.00|Þ||0.09||
ACS|CA|ARCHON MINERALS|ACS.V|0.02|16.17|0.00|0.0|0.0|0.25|0.31|0.20|0.00|17.00|16.00|0.25|0.26|0.36|0.00|0.00|0.10|0.00|-||0.26|   ||13.60|"54|416|758.00"|0.00|864.84|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|11/23/1992|11/23/1992|-|0.00| ||0.00||
ACST|CA|ACASTI PHARMA|ACST.V|-0.07|0.00|0.00|-2.33|-0.02|0.84|0.85|0.83|500.00|2.00|42.00|0.86|1.08|1.30|0.94|0.80|0.22|0.92|-||0.84|   ||83.98|"96|892|537.00"|"1|805|104.00"|"360|313.62"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/15/2015|10/15/2015|-|"1|614.00"|Þ||0.14||
ACU|CA|AURORA SOLAR TEC|ACU.V|-0.01|0.00|0.00|1.33|0.005|0.38|0.38|0.37|"29|500.00"|20.00|282.00|0.38|0.37|0.42|0.39|0.36|0.06|0.38|-||0.38|   ||44.85|"119|606|975.00"|"666|292.00"|"522|249.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|132.00|Þ||0.03||
ADD|CA|ARCTC STR EX ORD|ADD.V|-0.05|0.00|0.00|-0.0|-0.0|0.04|0.04|0.03|"18|000.00"|333.00|922.00|0.04|0.10|0.12|0.04|0.04|0.02|0.04|-||0.04|   ||2.20|"62|962|054.00"|"493|500.00"|"139|599.13"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/02/2019|12/02/2019|-|16.00|þ||0.00||
