Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
DFS.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DGO|CA|DURANGO RESOURCE|DGO.V|-0.01|0.00|0.00|-11.11|-0.01|0.08|0.08|0.07|"1|000.00"|33.00|270.00|0.09|0.14|0.17|0.09|0.08|0.04|0.09|-||0.08|   ||6.90|"76|705|500.00"|"533|900.00"|"147|650.28"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|02/12/2013|02/12/2013|-|42.00|þ||0.01||
DHR|CA|DISCOVERY HARBOU|DHR.V|-0.02|0.00|0.00|-0.0|-0.0|0.06|0.06|0.05|"48|000.00"|483.00|795.00|0.06|0.13|0.16|0.06|0.06|0.03|0.06|-||0.06|   ||5.20|"94|509|294.00"|"130|000.00"|"133|609.64"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/07/2017|07/07/2017|-|5.00| ||0.00||
DIA|CA|MARGARET LAKE DI|DIA.V|-0.02|0.00|0.00|0.0|0.0|0.03|0.00|0.00|0.00|0.00|0.00|0.03|0.07|0.09|0.00|0.00|0.01|0.00|-||0.00|   ||1.64|"54|686|587.00"|0.00|"88|399.15"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/27/2014|03/27/2014|-|0.00| ||0.00||
DJI|CA|DAJIN LITHIM ORD|DJI.V|0.00|0.00|0.00|7.14|0.005|0.07|0.08|0.07|"100|000.00"|125.00|17.00|0.07|0.07|0.09|0.07|0.07|0.01|0.07|-||0.08|   ||11.29|"161|325|509.00"|"233|164.00"|"104|682.02"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/19/2014|03/19/2014|-|11.00|Þ||0.00||
DLC|CA|DLC HOLDINGS COR|DLC.V|-0.08|0.00|0.00|0.0|0.0|0.16|0.18|0.00|0.00|56.00|0.00|0.16|0.13|0.18|0.00|0.00|0.05|0.00|-||0.09|   ||13.54|"29|033|375.00"|0.00|150.00|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|0.00| ||0.00||
DLS.V|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DMI|CA|DIAMCOR MINING|DMI.V|-0.05|0.00|0.00|-5.0|-0.005|0.10|0.10|0.10|"17|500.00"|100.00|5.00|0.10|0.14|0.20|0.10|0.10|0.06|0.10|-||0.10|   ||6.53|"65|311|488.00"|"105|000.00"|"59|620.13"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|11/27/2006|11/27/2006|-|7.00|þ||0.01||
DMR|CA|DAMARA GOLD CORP|DMR.V|-0.01|0.00|0.00|-8.33|-0.01|0.11|0.12|0.10|"5|000.00"|9.00|40.00|0.12|0.14|0.15|0.13|0.11|0.02|0.13|-||0.11|   ||3.16|"26|312|579.00"|"45|000.00"|"34|622.96"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/01/2014|10/01/2014|-|5.00|þ||0.02||
DOS|CA|DIOS EXPLOR|DOS.V|0.00|0.00|0.00|-0.0|-0.0|0.10|0.10|0.09|"5|000.00"|34.00|134.00|0.10|0.18|0.23|0.10|0.09|0.05|0.10|-||0.10|   ||9.48|"101|207|066.00"|"158|355.00"|"118|617.68"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|9.00|Þ||0.01||
