Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
SPS.A|CA|SPORTSCENE GRP A|SPSa.V|-0.45|0.00|7.21|-2.4|-0.1|4.06|4.20|4.06|200.00|1.00|3.00|4.16|4.45|7.25|4.22|4.06|2.80|4.22|-||4.13|   ||35.56|"8|548|000.00"|"1|100.00"|559.64|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.30|02/19/2020|01/30/2020|-|5.00|þ||0.16||
SPX|CA|STELLAR AFRICAGO|SPX.V|0.01|7.78|0.00|-0.0|-0.0|0.06|0.06|0.05|"1|000.00"|7.00|128.00|0.06|0.06|0.07|0.06|0.06|0.01|0.06|-||0.06|   ||3.70|"67|282|117.00"|"101|792.00"|"57|300.38"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|02/13/2020|02/11/2020|-|10.00| ||0.00||
SQD|CA|SQI DIAGNOSTICS|SQD.V|-0.04|0.00|0.00|-1.85|-0.005|0.27|0.28|0.26|"3|500.00"|30.00|40.00|0.27|0.23|0.29|0.29|0.23|0.06|0.27|-||0.27|   ||88.94|"329|419|020.00"|"128|000.00"|"130|853.08"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|07/19/2016|-|32.00|Þ||0.06||
SQG|CA|SPACKMAN EQUITIE|SQG.V|-0.01|0.00|0.00|-50.0|-0.005|0.01|0.01|0.01|"3|000.00"|"2|408.00"|5.00|0.01|0.02|0.03|0.01|0.01|0.01|0.01|-||0.01|   ||1.49|"148|900|183.00"|"1|092|000.00"|"114|326.18"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|10.00|þ||0.01||
SRA|CA|STRIA LITHIUM IN|SRA.V|0.00|0.00|0.00|0.0|0.0|0.02|0.03|0.03|0.00|331.00|381.00|0.02|0.02|0.03|0.00|0.00|0.01|0.00|-||0.03|   ||1.45|"72|460|369.00"|0.00|"18|425.01"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|0.00| ||0.00||
SRC|CA|STAKEHOLDER GOLD|SRC.V|-0.15|0.00|0.00|5.77|0.03|0.55|0.55|0.49|500.00|72.00|20.00|0.52|0.44|0.60|0.55|0.52|0.16|0.52|-||0.52|   ||5.87|"11|292|037.00"|"6|300.00"|"15|448.83"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/04/2020|09/04/2020|-|7.00|Þ||0.03||
SRE|CA|SAVILLE RSCS|SRE.V|0.00|0.00|0.00|-0.0|-0.0|0.04|0.04|0.04|"7|000.00"|13.00|523.00|0.04|0.04|0.06|0.04|0.04|0.01|0.04|-||0.04|   ||||"77|000.00"|"57|885.44"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/07/2017|07/07/2017|-|6.00| ||0.00||
SRI|CA|SPARTON RES|SRI.V|0.00|0.00|0.00|-0.0|-0.0|0.05|0.05|0.04|"15|000.00"|44.00|183.00|0.05|0.07|0.08|0.05|0.04|0.01|0.05|-||0.05|   ||6.97|"139|455|923.00"|"91|000.00"|"112|083.05"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|8.00|Þ||0.01||
SRL|CA|SALAZAR RSRCS|SRL.V|-0.01|0.00|0.00|-1.47|-0.005|0.34|0.38|0.31|"8|000.00"|18.00|20.00|0.34|0.27|0.39|0.34|0.34|0.12|0.34|-||0.34|   ||43.18|"126|987|790.00"|"18|000.00"|"53|910.32"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/08/2006|03/08/2006|-|2.00|þ||0.00||
SRX|CA|STORM RESOURCES|SRX.TO|-0.12|0.00|0.00|5.5|0.12|2.30|2.30|2.18|"7|900.00"|367.00|57.00|2.18|1.59|2.44|2.30|2.18|0.85|2.18|-||2.24|TOR||264.99|"121|557|000.00"|"147|367.00"|"160|089.10"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|72.00|Þ||0.12||
