Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
ABX|CA|BARRICK GOLD|ABX.TO|2.27|13.25|1.52|-0.27|-0.08|29.95|30.00|29.95|"1|000.00"|20.00|1.00|30.03|23.57|41.09|30.20|29.57|17.52|30.10|-||29.98|TOR||"53|395.38"|"1|778|126|000.00"|"4|522|121.00"|"4|724|810.39"|"768|800.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.46|12/15/2020|11/27/2020|-|"13|784.00"|Þ||0.63||
ADW|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AEM|CA|AGNICO EAGLE MIN|AEM.TO|3.52|25.20|2.10|0.87|0.77|89.41|89.69|89.09|500.00|10.00|5.00|88.64|74.10|117.35|89.63|87.75|43.25|88.64|-||89.39|TOR||"21|479.36"|"242|991|213.00"|"541|521.00"|"718|598.56"|"43|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.86|03/22/2021|02/26/2021|-|"3|642.00"|þ||1.88||
AFN|CA|AG GROWTH INC|AFN.TO|-2.95|0.00|1.95|6.93|2.13|32.88|32.95|32.62|400.00|3.00|2.00|30.75|33.07|48.07|32.96|31.11|15.00|31.11|-||32.78|TOR||575.43|"18|713|012.00"|"52|294.00"|"73|875.70"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.60|01/15/2021|12/30/2020|-|355.00|þ||1.85||
AGF.B|CA|AGF MGMT LTD B|AGFb.TO|1.08|5.73|5.15|3.54|0.22|6.43|6.45|6.41|100.00|1.00|10.00|6.21|4.76|7.26|6.47|6.23|2.50|6.24|-||6.43|TOR||439.49|"76|870|612.00"|"206|346.00"|"183|463.47"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.32|01/18/2021|01/07/2021|-|905.00|þ||0.24||
AGI|CA|ALAMOS GOLD|AGI.TO|0.35|30.54|0.95|-1.2|-0.13|10.70|10.73|10.65|100.00|8.00|11.00|10.83|11.09|15.52|10.83|10.51|4.43|10.80|-||10.69|TOR||"4|286.78"|"392|697|670.00"|"801|841.00"|"993|854.76"|"52|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.10|12/21/2020|12/04/2020|-|"3|413.00"|þ||0.32||
AI|CA|ATRIUM MRTG INVT|AI.TO|1.36|9.47|6.99|-0.39|-0.05|12.82|12.90|12.76|100.00|2.00|2.00|12.87|8.15|14.87|12.97|12.81|6.72|12.87|-||12.83|TOR||545.79|"42|408|300.00"|"52|899.00"|"45|545.54"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.90|01/12/2021|12/30/2020|-|142.00|þ||0.16||
AIF|CA|ALTUS GROUP|AIF.TO|0.55|88.81|1.22|-0.29|-0.14|48.86|49.14|48.77|500.00|1.00|1.00|49.00|27.70|61.11|49.21|48.56|33.41|49.00|-||48.95|TOR||"1|998.59"|"41|108|936.00"|"83|971.00"|"129|817.91"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.60|01/15/2021|12/30/2020|-|606.00|þ||0.65||
ALA|CA|ALTAGAS|ALA.TO|1.20|15.75|5.29|2.28|0.43|19.32|19.35|19.20|100.00|44.00|29.00|18.89|14.03|22.74|19.34|18.91|8.71|18.95|-||19.27|TOR||"5|279.09"|"279|464|999.00"|"624|719.00"|"739|368.24"|"24|700.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.00|02/15/2021|01/22/2021|-|"3|043.00"|þ||0.43||
AQN|CA|ALGONQUIN POWER|AQN.TO|1.11|19.48|3.68|-1.49|-0.32|21.21|21.28|21.19|600.00|2.00|1.00|21.53|8.55|22.39|21.60|21.12|13.84|21.60|-||21.23|TOR||"12|854.08"|"597|031|313.00"|"1|372|163.00"|"2|153|414.58"|"119|200.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.79|01/15/2021|12/30/2020|-|"6|363.00"|Þ||0.48||
