Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
ABT.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
AJX|CA|AGJUNCTION INC|AJX.TO|-0.07|0.00|0.00|-0.0|-0.0|0.56|0.56|0.52|"10|000.00"|9.00|8.00|0.56|0.55|0.61|0.57|0.53|0.06|0.53|-||0.54|TOR||66.10|"121|091|881.00"|"23|805.00"|"57|617.45"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|02/22/2000|02/16/2000|-|16.00|þ||0.04||
AVO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
BB|CA|BLACKBERRY LTD|BB.TO|-1.93|0.00|0.00|-0.82|-0.08|9.67|9.69|9.67|500.00|206.00|24.00|9.75|8.60|12.54|9.83|9.56|3.94|9.83|-||9.68|TOR||"5|528.94"|"562|634|092.00"|"2|568|477.00"|"2|671|913.22"|"145|200.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|08/20/2007|08/15/2007|-|"8|653.00"|þ||0.27||
BYL|CA|BAYLIN TECHNOLOG|BYL.TO|-0.55|0.00|0.00|6.98|0.06|0.92|0.93|0.92|500.00|23.00|14.00|0.86|1.71|2.18|0.92|0.88|0.47|0.88|-||0.93|TOR||41.26|"47|972|266.00"|"141|759.00"|"58|567.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|30.00|Þ||0.04||
CAE|CA|CAE INC|CAE.TO|0.22|155.44|0.00|0.23|0.08|34.66|34.80|34.60|100.00|2.00|2.00|34.58|27.74|42.00|35.10|34.46|14.26|34.57|-||34.70|TOR||"9|765.10"|"265|797|377.00"|"503|761.00"|"740|635.62"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/31/2020|03/12/2020|-|"3|648.00"|þ||0.64||
CCZ|US|COMCAST HLDGS CP|CCZ|0.00|0.00|2.36|0.0|0.0|63.40|0.00|0.00|0.00|0.00|0.00|63.40|18.20|67.95|0.00|0.00|49.75|0.00|-|0.00|0.00|NYQ||||110.00|"10|256.65"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|1.50|01/15/2021|12/30/2020|-|4.00|þ||0.00||
CGY|CA|CALIAN GROUP LTD|CGY.TO|2.23|29.00|1.73|1.13|0.73|65.45|66.00|65.03|100.00|1.00|2.00|64.72|40.62|71.91|66.00|65.00|31.29|65.00|-||65.52|TOR||631.85|"9|762|826.00"|"10|106.00"|"14|496.05"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|1.12|12/22/2020|12/07/2020|-|77.00|þ||1.00||
CLS|CA|CELESTICA|CLS.TO|0.35|30.37|0.00|-1.5|-0.16|10.52|10.60|10.48|100.00|4.00|4.00|10.68|8.44|12.27|10.77|10.46|3.83|10.64|-||10.54|TOR||"1|378.32"|"112|555|664.00"|"106|181.00"|"164|209.08"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/21/1999|12/15/1999|-|641.00|þ||0.31||
CMG|CA|COMPUTER MODEL|CMG.TO|0.28|17.34|4.18|5.65|0.27|5.05|5.10|5.00|100.00|7.00|1.00|4.78|5.06|8.48|5.12|4.78|3.42|4.79|-||5.05|TOR||383.77|"80|286|103.00"|"438|855.00"|"108|374.85"|"25|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.20|12/15/2020|12/04/2020|-|"1|213.00"|þ||0.34||
CSU|CA|CONSTELLTION STW|CSU.TO|23.88|67.97|0.32|-0.52|-8.4|"1|614.99"|"1|618.43"|"1|608.00"|300.00|1.00|1.00|"1|623.39"|713.29|"1|789.63"|"1|647.64"|"1|600.80"|"1|076.34"|"1|618.09"|-||"1|613.22"|TOR||"34|402.12"|"21|191|530.00"|"29|317.00"|"42|359.96"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|5.11|01/04/2021|12/23/2020|-|484.00|Þ||46.84||
DBO|CA|D-BOX TECHNO|DBO.TO|-0.04|0.00|0.00|-4.17|-0.005|0.12|0.12|0.12|"4|000.00"|278.00|168.00|0.12|0.25|0.27|0.13|0.12|0.03|0.13|-||0.12|TOR||21.11|"175|950|573.00"|"239|000.00"|"1|156|979.32"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|29.00|þ||0.01||
DSG|CA|DESCARTES SYS|DSG.TO|0.72|104.17|0.00|-1.45|-1.09|74.23|74.64|73.99|100.00|7.00|1.00|75.32|43.75|82.40|76.01|73.84|38.65|75.08|-||74.31|TOR||"6|413.51"|"84|483|985.00"|"101|584.00"|"162|973.88"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|925.00|Þ||2.17||
DW|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
ENGH|CA|ENGHOUSE SYS|ENGH.TO|1.78|36.76|0.83|0.21|0.14|65.45|65.75|65.45|100.00|8.00|2.00|65.31|45.04|80.91|66.66|65.27|35.87|65.79|-||65.60|TOR||"3|614.84"|"55|348|924.00"|"200|194.00"|"148|535.37"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.54|02/16/2021|01/14/2021|-|"1|505.00"|þ||1.39||
ESP|US|ESPEY MFG & ELEC|ESP|0.53|36.39|5.18|0.5859|0.113|19.40|21.00|19.05|0.00|1.00|1.00|19.29|7.03|23.00|19.40|19.40|15.97|19.40|-|0.00|20.02|ASQ||46.34|"3|029|874.00"|461.00|"4|274.21"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|1.00|12/29/2020|12/21/2020|-|19.00|Þ||0.00||
ET|CA|EVERTZ TECH|ET.TO|0.74|17.39|5.59|1.01|0.13|13.00|13.00|12.97|500.00|4.00|3.00|12.87|8.96|18.65|13.00|12.83|9.69|12.98|-||12.98|TOR||982.12|"76|310|446.00"|"30|169.00"|"21|542.22"|"13|200.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.72|12/23/2020|12/15/2020|-|73.00|Þ||0.17||
EXF|CA|EXFO INC|EXF.TO|-0.22|0.00|0.00|4.94|0.21|4.46|4.54|4.46|100.00|2.00|10.00|4.25|2.83|5.74|4.54|4.18|2.91|4.36|-||4.50|TOR||237.04|"24|060|766.00"|"24|156.00"|"8|467.25"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|115.00|Þ||0.36||
FTG|CA|FIRAN TECH GRP|FTG.TO|0.03|77.80|0.00|-0.98|-0.02|2.03|2.08|2.02|100.00|22.00|7.00|2.05|2.92|4.37|2.06|1.99|1.45|2.06|-||2.05|TOR||46.95|"22|900|645.00"|"4|080.00"|"21|009.66"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|10/23/2000|10/17/2000|-|19.00|Þ||0.07||
GIB|US|CGI INC|GIB|3.15|25.01|0.00|0.0889|0.07|78.85|91.00|0.00|0.00|3.00|0.00|78.78|40.80|87.13|78.93|77.93|46.32|78.66|-|0.28|45.50|NYQ||"22|963.27"|"228|104|439.00"|"96|093.00"|"162|750.18"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.00|01/14/2000|01/18/2000|-|"1|550.00"|þ||1.00||
GPS|US|GAP INC|GPS|-2.83|0.00|4.33|4.0643|0.91|23.30|23.28|23.12|0.00|3.00|3.00|22.39|21.73|26.99|23.59|22.27|5.26|22.35|-|0.63|23.20|NYQ||"8|374.51"|"374|029|098.00"|"11|394|857.00"|"9|564|456.39"|"2|154|650.00"||-|-|-|-|-|-|-|-|-|||USD|R|0.97|04/28/2021|04/06/2021|-|"70|635.00"|þ||1.32||
IMP|CA|INTERMAP TECH|IMP.TO|2.20|0.32|0.00|-1.43|-0.01|0.69|0.72|0.63|"2|500.00"|6.00|1.00|0.70|1.11|1.25|0.74|0.69|0.14|0.74|-||0.68|TOR||17.69|"25|073|459.00"|"11|600.00"|"23|036.43"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|12/08/2017|12/08/2017|-|11.00|þ||0.05||
ISV|CA|INFORMATION SERV|ISV.TO|1.16|18.21|3.78|0.57|0.12|21.30|21.30|21.25|300.00|1.00|2.00|21.18|12.48|24.50|21.70|21.16|12.02|21.31|-||21.27|TOR||370.65|"17|500|000.00"|"9|923.00"|"8|219.41"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.80|01/15/2021|12/30/2020|-|52.00|Þ||0.54||
ITC|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
ITX|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
KXS|CA|KINAXIS INC|KXS.TO|1.09|161.03|0.00|-1.78|-3.12|172.10|173.01|172.10|200.00|1.00|1.00|175.22|138.45|224.98|175.70|172.10|86.53|175.22|-||172.56|TOR||"4|762.02"|"26|964|764.00"|"65|374.00"|"104|381.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|683.00|þ||3.60||
MDA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
MDF|CA|MDF COMMERCE ORD|MDF.TO|-0.69|0.00|0.00|3.13|0.41|13.50|13.56|13.40|100.00|2.00|7.00|13.09|12.00|14.22|13.72|13.06|2.22|13.06|-||13.48|TOR||298.08|"22|771|965.00"|"56|179.00"|"75|084.37"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|10/15/2019|09/30/2019|-|232.00|Þ||0.66||
MNW|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
MOGO|CA|MOGO INC|MOGO.TO|-0.65|0.00|0.00|0.34|0.02|5.87|5.89|5.86|100.00|1.00|2.00|5.85|5.80|6.59|6.02|5.76|0.79|5.86|-||5.88|TOR||189.89|"30|285|413.00"|"240|489.00"|"218|718.37"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|04/05/2019|03/21/2019|-|850.00|þ||0.26||
NXJ|CA|NEXJ SYSTEMS ORD|NXJ.TO|-0.12|0.00|0.00|-11.25|-0.09|0.71|0.75|0.71|500.00|42.00|23.00|0.80|0.57|0.95|0.71|0.71|0.38|0.71|-||0.73|TOR||16.88|"20|164|000.00"|"3|500.00"|"4|558.20"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|2.00|þ||0.00||
OPS|CA|OPSENS INC|OPS.TO|-0.03|0.00|0.00|1.4|0.02|1.45|1.45|1.44|100.00|56.00|6.00|1.43|1.07|1.46|1.48|1.42|0.39|1.44|-||1.44|TOR||129.10|"90|280|317.00"|"157|842.00"|"59|359.10"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|78.00|Þ||0.06||
OTEX|CA|OPEN TEXT CORP|OTEX.TO|1.29|43.91|1.83|-0.02|-0.01|56.54|56.66|56.45|500.00|12.00|2.00|56.55|21.70|64.00|56.65|55.83|42.30|56.34|-||56.55|TOR||"15|402.83"|"273|769|269.00"|"734|106.00"|"562|493.94"|"308|700.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.04|12/22/2020|12/03/2020|-|"3|213.00"|þ||0.82||
PATH|CA|COUNTERPATH CORP|PATH.TO|0.16|27.70|0.00|0.46|0.02|4.34|4.66|4.28|100.00|2.00|1.00|4.32|5.56|7.95|4.34|4.31|2.39|4.31|-||4.47|TOR||21.77|"6|440|136.00"|"1|500.00"|"1|661.47"|0.00||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|11/02/2015|11/02/2015|-|4.00|Þ||0.03||
PAY|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
PTG.TO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
