Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
CYP|CA|CYPRESS DEVELOPM|CYP.V|-0.01|0.00|0.00|21.43|0.39|2.21|2.21|2.19|"1|000.00"|167.00|139.00|1.82|1.80|1.91|2.21|1.86|0.11|1.90|-||2.20|   ||179.77|"98|772|470.00"|"1|323|971.00"|"304|466.92"|"97|000.00"||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|01/12/2015|01/12/2015|-|"1|108.00"|Þ||0.35||
CZX|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
CZY|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DAN|CA|ARIANNE PHOSPHAT|DAN.V|-0.01|0.00|0.00|-2.22|-0.005|0.22|0.23|0.21|"10|000.00"|31.00|16.00|0.23|0.21|0.34|0.22|0.22|0.13|0.22|-||0.22|   ||27.72|"111|458|250.00"|"40|500.00"|"64|199.35"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/03/2009|07/03/2009|-|6.00|þ||0.00||
DAU|CA|DESERT GOLD VNTR|DAU.V|-0.05|0.00|0.00|6.67|0.01|0.16|0.16|0.15|"14|500.00"|6.00|50.00|0.15|0.30|0.35|0.16|0.15|0.05|0.16|-||0.16|   ||20.73|"137|118|173.00"|"194|000.00"|"224|473.06"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/24/2015|07/24/2015|-|23.00|Þ||0.01||
DBG|CA|DOUBLEVW GLD ORD|DBG.V|0.00|0.00|0.00|-2.04|-0.005|0.24|0.25|0.24|"15|500.00"|76.00|23.00|0.24|0.31|0.34|0.26|0.24|0.04|0.25|-||0.24|   ||30.99|"126|485|645.00"|"109|201.00"|"179|687.42"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|17.00|þ||0.02||
DCY|CA|DISCOVERY CORP|DCY.V|0.00|0.00|0.00|-12.5|-0.01|0.07|0.08|0.07|"2|000.00"|2.00|58.00|0.08|0.08|0.14|0.07|0.07|0.06|0.07|-||0.08|   ||0.98|"12|217|096.00"|"2|000.00"|"5|234.72"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|01/14/2020|01/14/2020|-|1.00|þ||0.00||
DEC|CA|DECADE RESRCES|DEC.V|-0.01|0.00|0.00|10.53|0.01|0.10|0.11|0.10|"4|000.00"|105.00|82.00|0.10|0.13|0.14|0.11|0.10|0.01|0.10|-||0.11|   ||20.71|"218|008|521.00"|"1|364|396.00"|"768|592.91"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/23/2013|10/23/2013|-|79.00|þ||0.01||
DEF|CA|DEFIANCE SILVER|DEF.V|-0.01|0.00|0.00|-0.0|-0.0|0.80|0.82|0.77|"1|500.00"|50.00|1.00|0.80|0.99|1.05|0.82|0.73|0.06|0.80|-||0.79|   ||154.68|"193|352|855.00"|"407|243.00"|"348|535.78"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|12/05/2011|12/05/2011|-|205.00|Þ||0.09||
DFI|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DGO|CA|DURANGO RESOURCE|DGO.V|-0.01|0.00|0.00|-11.11|-0.01|0.08|0.08|0.07|"1|000.00"|33.00|270.00|0.09|0.14|0.17|0.09|0.08|0.04|0.09|-||0.08|   ||6.90|"76|705|500.00"|"533|900.00"|"147|650.28"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|02/12/2013|02/12/2013|-|42.00|þ||0.01||
DHR|CA|DISCOVERY HARBOU|DHR.V|-0.02|0.00|0.00|-0.0|-0.0|0.06|0.06|0.05|"48|000.00"|483.00|795.00|0.06|0.13|0.16|0.06|0.06|0.03|0.06|-||0.06|   ||5.20|"94|509|294.00"|"130|000.00"|"133|609.64"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|07/07/2017|07/07/2017|-|5.00| ||0.00||
DIA|CA|MARGARET LAKE DI|DIA.V|-0.02|0.00|0.00|0.0|0.0|0.03|0.00|0.00|0.00|0.00|0.00|0.03|0.07|0.09|0.00|0.00|0.01|0.00|-||0.00|   ||1.64|"54|686|587.00"|0.00|"88|399.15"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/27/2014|03/27/2014|-|0.00| ||0.00||
DJI|CA|DAJIN LITHIM ORD|DJI.V|0.00|0.00|0.00|7.14|0.005|0.07|0.08|0.07|"100|000.00"|125.00|17.00|0.07|0.07|0.09|0.07|0.07|0.01|0.07|-||0.08|   ||11.29|"161|325|509.00"|"233|164.00"|"104|682.02"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|03/19/2014|03/19/2014|-|11.00|Þ||0.00||
DMI|CA|DIAMCOR MINING|DMI.V|-0.05|0.00|0.00|-5.0|-0.005|0.10|0.10|0.10|"17|500.00"|100.00|5.00|0.10|0.14|0.20|0.10|0.10|0.06|0.10|-||0.10|   ||6.53|"65|311|488.00"|"105|000.00"|"59|620.13"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|11/27/2006|11/27/2006|-|7.00|þ||0.01||
DMM|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DMR|CA|DAMARA GOLD CORP|DMR.V|-0.01|0.00|0.00|-8.33|-0.01|0.11|0.12|0.10|"5|000.00"|9.00|40.00|0.12|0.14|0.15|0.13|0.11|0.02|0.13|-||0.11|   ||3.16|"26|312|579.00"|"45|000.00"|"34|622.96"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|10/01/2014|10/01/2014|-|5.00|þ||0.02||
DOS|CA|DIOS EXPLOR|DOS.V|0.00|0.00|0.00|-0.0|-0.0|0.10|0.10|0.09|"5|000.00"|34.00|134.00|0.10|0.18|0.23|0.10|0.09|0.05|0.10|-||0.10|   ||9.48|"101|207|066.00"|"158|355.00"|"118|617.68"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|-|-|-|9.00|Þ||0.01||
DOX|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DPH|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
DRV|US|DXN RL ES BEAR3X|DRV|0.00|0.00|0.53|-0.6151|-0.07|11.31|11.78|11.09|0.00|3.00|3.00|11.38|61.79|71.04|11.61|11.25|9.25|11.38|-|0.70|11.43|   ||||"86|236.00"|"195|885.30"|0.00||-|-|-|-|-|-|-|-|-|||USD|R|0.06|10/01/2020|09/22/2020|-|397.00|Þ||0.36||
DSF|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
